uint64 BYTES,uint64 BYTES_REV,uint64 FLOW_ID,uint64 LINK_BIT_FIELD,uint64 TCP_OPT,uint64 TCP_OPT_REV,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint32 TCP_MSS,uint32 TCP_MSS_REV,uint16 TCP_SYN_SIZE,uint16 TCP_WIN,uint16 TCP_WIN_REV,uint8 IP_FLG,uint8 IP_FLG_REV,uint8 IP_TTL,uint8 IP_TTL_REV,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,uint32* DBI_BRST_BYTES,uint32* DBI_BRST_PACKETS,uint32* SBI_BRST_BYTES,uint32* SBI_BRST_PACKETS,time* DBI_BRST_TIME_START,time* DBI_BRST_TIME_STOP,time* SBI_BRST_TIME_START,time* SBI_BRST_TIME_STOP,uint32_D_PHISTS_IPT_bin0,uint32_D_PHISTS_IPT_bin1,uint32_D_PHISTS_IPT_bin2,uint32_D_PHISTS_IPT_bin3,uint32_D_PHISTS_IPT_bin4,uint32_D_PHISTS_IPT_bin5,uint32_D_PHISTS_IPT_bin6,uint32_D_PHISTS_IPT_bin7,sum_D_PHISTS_IPT,uint32_D_PHISTS_SIZES_bin0,uint32_D_PHISTS_SIZES_bin1,uint32_D_PHISTS_SIZES_bin2,uint32_D_PHISTS_SIZES_bin3,uint32_D_PHISTS_SIZES_bin4,uint32_D_PHISTS_SIZES_bin5,uint32_D_PHISTS_SIZES_bin6,uint32_D_PHISTS_SIZES_bin7,sum_D_PHISTS_SIZES,uint32_S_PHISTS_IPT_bin0,uint32_S_PHISTS_IPT_bin1,uint32_S_PHISTS_IPT_bin2,uint32_S_PHISTS_IPT_bin3,uint32_S_PHISTS_IPT_bin4,uint32_S_PHISTS_IPT_bin5,uint32_S_PHISTS_IPT_bin6,uint32_S_PHISTS_IPT_bin7,sum_S_PHISTS_IPT,uint32_S_PHISTS_SIZES_bin0,uint32_S_PHISTS_SIZES_bin1,uint32_S_PHISTS_SIZES_bin2,uint32_S_PHISTS_SIZES_bin3,uint32_S_PHISTS_SIZES_bin4,uint32_S_PHISTS_SIZES_bin5,uint32_S_PHISTS_SIZES_bin6,uint32_S_PHISTS_SIZES_bin7,sum_S_PHISTS_SIZES,int8_PPI_PKT_DIRECTIONS_0,int8_PPI_PKT_DIRECTIONS_1,int8_PPI_PKT_DIRECTIONS_2,int8_PPI_PKT_DIRECTIONS_3,int8_PPI_PKT_DIRECTIONS_4,int8_PPI_PKT_DIRECTIONS_5,int8_PPI_PKT_DIRECTIONS_6,int8_PPI_PKT_DIRECTIONS_7,int8_PPI_PKT_DIRECTIONS_8,int8_PPI_PKT_DIRECTIONS_9,int8_PPI_PKT_DIRECTIONS_10,int8_PPI_PKT_DIRECTIONS_11,int8_PPI_PKT_DIRECTIONS_12,int8_PPI_PKT_DIRECTIONS_13,int8_PPI_PKT_DIRECTIONS_14,int8_PPI_PKT_DIRECTIONS_15,int8_PPI_PKT_DIRECTIONS_16,int8_PPI_PKT_DIRECTIONS_17,int8_PPI_PKT_DIRECTIONS_18,int8_PPI_PKT_DIRECTIONS_19,int8_PPI_PKT_DIRECTIONS_20,int8_PPI_PKT_DIRECTIONS_21,int8_PPI_PKT_DIRECTIONS_22,int8_PPI_PKT_DIRECTIONS_23,int8_PPI_PKT_DIRECTIONS_24,int8_PPI_PKT_DIRECTIONS_25,int8_PPI_PKT_DIRECTIONS_26,int8_PPI_PKT_DIRECTIONS_27,int8_PPI_PKT_DIRECTIONS_28,int8_PPI_PKT_DIRECTIONS_29,uint8_PPI_PKT_FLAGS_0,uint8_PPI_PKT_FLAGS_1,uint8_PPI_PKT_FLAGS_2,uint8_PPI_PKT_FLAGS_3,uint8_PPI_PKT_FLAGS_4,uint8_PPI_PKT_FLAGS_5,uint8_PPI_PKT_FLAGS_6,uint8_PPI_PKT_FLAGS_7,uint8_PPI_PKT_FLAGS_8,uint8_PPI_PKT_FLAGS_9,uint8_PPI_PKT_FLAGS_10,uint8_PPI_PKT_FLAGS_11,uint8_PPI_PKT_FLAGS_12,uint8_PPI_PKT_FLAGS_13,uint8_PPI_PKT_FLAGS_14,uint8_PPI_PKT_FLAGS_15,uint8_PPI_PKT_FLAGS_16,uint8_PPI_PKT_FLAGS_17,uint8_PPI_PKT_FLAGS_18,uint8_PPI_PKT_FLAGS_19,uint8_PPI_PKT_FLAGS_20,uint8_PPI_PKT_FLAGS_21,uint8_PPI_PKT_FLAGS_22,uint8_PPI_PKT_FLAGS_23,uint8_PPI_PKT_FLAGS_24,uint8_PPI_PKT_FLAGS_25,uint8_PPI_PKT_FLAGS_26,uint8_PPI_PKT_FLAGS_27,uint8_PPI_PKT_FLAGS_28,uint8_PPI_PKT_FLAGS_29,uint16_PPI_PKT_LENGTHS_0,uint16_PPI_PKT_LENGTHS_1,uint16_PPI_PKT_LENGTHS_2,uint16_PPI_PKT_LENGTHS_3,uint16_PPI_PKT_LENGTHS_4,uint16_PPI_PKT_LENGTHS_5,uint16_PPI_PKT_LENGTHS_6,uint16_PPI_PKT_LENGTHS_7,uint16_PPI_PKT_LENGTHS_8,uint16_PPI_PKT_LENGTHS_9,uint16_PPI_PKT_LENGTHS_10,uint16_PPI_PKT_LENGTHS_11,uint16_PPI_PKT_LENGTHS_12,uint16_PPI_PKT_LENGTHS_13,uint16_PPI_PKT_LENGTHS_14,uint16_PPI_PKT_LENGTHS_15,uint16_PPI_PKT_LENGTHS_16,uint16_PPI_PKT_LENGTHS_17,uint16_PPI_PKT_LENGTHS_18,uint16_PPI_PKT_LENGTHS_19,uint16_PPI_PKT_LENGTHS_20,uint16_PPI_PKT_LENGTHS_21,uint16_PPI_PKT_LENGTHS_22,uint16_PPI_PKT_LENGTHS_23,uint16_PPI_PKT_LENGTHS_24,uint16_PPI_PKT_LENGTHS_25,uint16_PPI_PKT_LENGTHS_26,uint16_PPI_PKT_LENGTHS_27,uint16_PPI_PKT_LENGTHS_28,uint16_PPI_PKT_LENGTHS_29,time_PPI_PKT_TIMES_0,time_PPI_PKT_TIMES_1,time_PPI_PKT_TIMES_2,time_PPI_PKT_TIMES_3,time_PPI_PKT_TIMES_4,time_PPI_PKT_TIMES_5,time_PPI_PKT_TIMES_6,time_PPI_PKT_TIMES_7,time_PPI_PKT_TIMES_8,time_PPI_PKT_TIMES_9,time_PPI_PKT_TIMES_10,time_PPI_PKT_TIMES_11,time_PPI_PKT_TIMES_12,time_PPI_PKT_TIMES_13,time_PPI_PKT_TIMES_14,time_PPI_PKT_TIMES_15,time_PPI_PKT_TIMES_16,time_PPI_PKT_TIMES_17,time_PPI_PKT_TIMES_18,time_PPI_PKT_TIMES_19,time_PPI_PKT_TIMES_20,time_PPI_PKT_TIMES_21,time_PPI_PKT_TIMES_22,time_PPI_PKT_TIMES_23,time_PPI_PKT_TIMES_24,time_PPI_PKT_TIMES_25,time_PPI_PKT_TIMES_26,time_PPI_PKT_TIMES_27,time_PPI_PKT_TIMES_28,time_PPI_PKT_TIMES_29,LABEL
75,139,10138482809847232463,1,0,0,3c:18:a0:41:c3:a0,08:7c:39:ce:6e:2a,1,1,0,0,0,0,0,2,0,64,128,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665180423.493656,1665180423.557243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
56,72,514703802984585611,1,0,0,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,1,1,0,0,0,0,0,2,0,64,128,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665167117.651238,1665167117.824733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
93,221,17226578393012023875,1,0,0,3c:18:a0:41:c3:a0,7c:78:b2:86:0d:81,1,1,0,0,0,0,0,2,0,64,122,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665181644.503994,1665181644.587482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
69,327,4057136612924117268,1,0,0,3c:18:a0:41:c3:a0,b0:f1:ec:d3:e7:98,1,1,0,0,0,0,0,2,0,64,128,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,299.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665163608.09117,1665163608.13286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
120,164,2726818762170173786,1,0,0,3c:18:a0:41:c3:a0,cc:f4:11:9c:d0:00,2,2,0,0,0,0,0,2,0,64,123,17,0,0,[],[],[],[],[],[],[],[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,48.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665184969.469007,1665184969.510057,1665184969.532391,1665184969.559419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
438,1062,5854141412207252857,1,0,0,3c:18:a0:41:c3:a0,24:05:88:30:6f:89,6,6,0,0,0,0,0,2,0,64,123,17,0,0,[],[],[],[],[],[],[],[],0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.4,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.4,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,45.0,141.0,157.0,45.0,45.0,141.0,157.0,45.0,45.0,141.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665171415.200246,1665171415.200249,1665171415.36872,1665171415.388856,1665171435.209401,1665171435.209404,1665171435.349026,1665171435.370203,1665171475.226949,1665171475.226951,1665171475.385259,1665171475.399486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
56,72,3599297711998055727,1,0,0,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,1,1,0,0,0,0,0,2,0,64,128,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665182978.193698,1665182978.315097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
56,72,4590947168112884953,1,0,0,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,1,1,0,0,0,0,0,2,0,64,128,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665183004.983052,1665183005.105208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
56,72,8663820341148986914,1,0,0,3c:18:a0:41:c3:a0,ac:17:02:05:34:27,1,1,0,0,0,0,0,2,0,64,128,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665171568.428655,1665171568.545518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
1663,1292,3563223483621839395,1,32888,32888,3c:18:a0:41:c3:a0,40:5d:82:35:14:c8,10,10,95683586,95683586,60,14600,26847,2,2,64,231,6,27,27,[764],[3],[1135],[4],[2022-10-07T21:54:42.878887],[2022-10-07T21:54:43.241800],[2022-10-07T21:54:42.777887],[2022-10-07T21:54:43.253363],0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,3,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,3,0.0,0.25,0.25,0.0,0.25,0.0,0.25,0.0,4,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,152.0,51.0,840.0,578.0,34.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665179682.777887,1665179682.878887,1665179682.898277,1665179683.046193,1665179683.241799,1665179683.2418,1665179683.253363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BenignTraffic
