Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,90787955,9,9,232.0,480.0,168.0,0.0,25.77777777777778,53.76750360993567,480.0,0.0,53.333333333333336,160.0,7.842450025446658,0.1982641860365728,5340467.94117647,10424817.79026077,31462199.0,1.0,90779608.0,11347451.0,13189059.02958784,31776754.0,1.0,90767036.0,11345879.5,13147421.041175708,31488034.0,3.0,0,296,308,0.0991320930182864,0.0991320930182864,0.0,480.0,37.47368421052631,113.73134446339007,12934.818713450291,1,2,0,7,17,0,0,1.0,39.55555555555556,25.77777777777778,53.333333333333336,0,0,0,2,58,2,120,64240,508,6,32,159962.25,205448.3540963925,465537.0,25835.0,22534939.75,8006368.003218994,31462199.0,14801536.0,DDoS
17,160914,1000,0,8000.0,0.0,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,49715.99736505214,6214.499670631518,161.07507507507518,1641.587866309629,34800.0,0.0,160914.0,161.07507507507518,1641.587866309629,34800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8000,0,6214.499670631518,0.0,8.0,8.0,8.0,0.0,0.0,0,0,0,0,0,0,0,0.0,8.008,8.0,0.0,8000,1000,49715,0,0,0,0,0,0,999,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,31638,2,2,70.0,102.0,35.0,35.0,35.0,0.0,51.0,51.0,51.0,0.0,5436.500410898287,126.43024211391364,10546.0,11271.771067582946,22425.0,0.0,9213.0,9213.0,0.0,9213.0,9213.0,0.0,0.0,0.0,0.0,0.0,0,16,16,63.215121056956825,63.215121056956825,35.0,51.0,41.4,8.763560920082657,76.8,0,0,0,0,0,0,0,1.0,51.75,35.0,51.0,172,4,5436,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,20343,1,1,34.0,89.0,34.0,34.0,34.0,0.0,89.0,89.0,89.0,0.0,6046.305854593717,98.3139163348572,20343.0,0.0,20343.0,20343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,49.1569581674286,49.1569581674286,34.0,89.0,52.33333333333333,31.75426480542941,1008.3333333333331,0,0,0,0,0,0,0,1.0,78.5,34.0,89.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,5056761,2,2,108.0,108.0,54.0,54.0,54.0,0.0,54.0,54.0,54.0,0.0,42.71508975804869,0.7910201807046052,1685587.0,2878717.807488084,5009644.0,23455.0,5033306.0,5033306.0,0.0,5033306.0,5033306.0,5033099.0,5033099.0,0.0,5033099.0,5033099.0,0,16,16,0.3955100903523026,0.3955100903523026,54.0,54.0,54.0,0.0,0.0,0,0,0,0,0,0,0,1.0,67.5,54.0,54.0,0,0,0,2,108,2,108,0,0,1,8,23662.0,0.0,23662.0,23662.0,5009644.0,0.0,5009644.0,5009644.0,DDoS
17,2502006,2,2,68.0,124.0,34.0,34.0,34.0,0.0,62.0,62.0,62.0,0.0,76.73842508770962,1.5987171893272836,834002.0,1443775.2137725595,2501130.0,234.0,2501772.0,2501772.0,0.0,2501772.0,2501772.0,2501364.0,2501364.0,0.0,2501364.0,2501364.0,0,16,16,0.7993585946636418,0.7993585946636418,34.0,62.0,45.2,15.336231610144653,235.20000000000005,0,0,0,0,0,0,0,1.0,56.5,34.0,62.0,0,0,0,2,68,2,124,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,39233,1,1,32.0,48.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,2039.099737465909,50.97749343664773,39233.0,0.0,39233.0,39233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,25.488746718323863,25.488746718323863,32.0,48.0,37.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,56.0,32.0,48.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
6,21666,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.62106526354657,7222.0,259.5130054544473,7483.0,6964.0,6964.0,6964.0,0.0,6964.0,6964.0,7483.0,7483.0,0.0,7483.0,7483.0,0,60,52,92.31053263177328,92.31053263177328,0.0,0.0,0.0,0.0,0.0,1,2,0,0,3,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,64240,3650,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
6,877639,4,4,21.0,154.0,21.0,0.0,5.25,10.5,133.0,0.0,38.5,63.773035054010094,199.398613780837,9.115365201409691,125377.0,299220.7448066839,802955.0,2.0,835749.0,278583.0,454415.3296412875,802955.0,2.0,44328.0,14776.0,23599.64569649299,42023.0,773.0,0,144,136,4.557682600704846,4.557682600704846,0.0,133.0,19.444444444444443,43.54340108188355,1896.0277777777776,1,3,0,3,6,0,0,1.0,21.875,5.25,38.5,0,0,0,0,0,0,0,64240,1810,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,11734,1,1,52.0,36.0,52.0,52.0,52.0,0.0,36.0,36.0,36.0,0.0,7499.573887847281,170.44486108743823,11734.0,0.0,11734.0,11734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,85.22243054371911,85.22243054371911,36.0,52.0,46.66666666666666,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,70.0,52.0,36.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,347,2,2,104.0,72.0,52.0,52.0,52.0,0.0,36.0,36.0,36.0,0.0,507204.6109510087,11527.377521613833,115.66666666666666,195.14695317460976,341.0,2.0,2.0,2.0,0.0,2.0,2.0,4.0,4.0,0.0,4.0,4.0,0,16,16,5763.688760806916,5763.688760806916,36.0,52.0,45.6,8.763560920082657,76.8,0,0,0,0,0,0,0,1.0,57.0,52.0,36.0,176,4,507204,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,19748,1,1,52.0,36.0,52.0,52.0,52.0,0.0,36.0,36.0,36.0,0.0,4456.147457970427,101.27607859023698,19748.0,0.0,19748.0,19748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,50.63803929511849,50.63803929511849,36.0,52.0,46.66666666666666,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,70.0,52.0,36.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
6,13008606,20,6,16866.0,0.0,2355.0,0.0,843.2999999999998,743.6213028855906,0.0,0.0,0.0,0.0,1296.5263149641091,1.9986768759081488,520344.24,847971.2358485045,2800583.0,109.0,13008606.0,684663.4736842106,922262.466093656,2800583.0,109.0,10437254.0,2087450.8,1064349.575902203,3770465.0,1175967.0,0,644,248,1.537443750698576,0.4612331252095727,0.0,2355.0,624.6666666666667,738.8647737212499,545921.1538461538,0,6,1,8,23,0,0,0.0,648.6923076923077,843.3,0.0,12053,10,192801,2,2409,0,0,64240,1086,13,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,158429,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,605.9496683056764,12.623951423034926,158429.0,0.0,158429.0,158429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,6.311975711517463,6.311975711517463,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,140618,1,1,36.0,95.0,36.0,36.0,36.0,0.0,95.0,95.0,95.0,0.0,931.6019286293364,14.22293020808147,140618.0,0.0,140618.0,140618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,7.111465104040735,7.111465104040735,36.0,95.0,55.66666666666667,34.06366588218792,1160.3333333333337,0,0,0,0,0,0,0,1.0,83.5,36.0,95.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,22387,1,1,28.0,44.0,28.0,28.0,28.0,0.0,44.0,44.0,44.0,0.0,3216.1522312056104,89.33756197793362,22387.0,0.0,22387.0,22387.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,44.66878098896681,44.66878098896681,28.0,44.0,33.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,50.0,28.0,44.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,7478099,24,0,7152.0,0.0,303.0,294.0,298.0,3.822132343623636,0.0,0.0,0.0,0.0,956.3927944789176,3.209371793553415,325134.73913043475,427199.6424706132,1106718.0,48644.0,7478099.0,325134.73913043475,427199.6424706132,1106718.0,48644.0,0.0,0.0,0.0,0.0,0.0,0,192,0,3.209371793553415,0.0,294.0,303.0,297.84000000000003,3.8262252939417984,14.64,0,0,0,0,0,0,0,0.0,310.25,298.0,0.0,2384,8,1332,12,3576,0,0,0,0,23,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
17,26045,1,1,32.0,48.0,32.0,32.0,32.0,0.0,48.0,48.0,48.0,0.0,3071.6068343252064,76.79017085813017,26045.0,0.0,26045.0,26045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,38.39508542906509,38.39508542906509,32.0,48.0,37.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,56.0,32.0,48.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DDoS
