Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
17,13510,1,1,52.0,36.0,52.0,52.0,52.0,0.0,36.0,36.0,36.0,0.0,6513.693560325685,148.03849000740192,13510.0,0.0,13510.0,13510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,74.01924500370096,74.01924500370096,36.0,52.0,46.66666666666666,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,70.0,52.0,36.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
17,115014634,24,0,4512.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.22979053256823,0.2086690985774905,5000636.260869565,18801.29608012413,5034284.0,4967060.0,115014634.0,5000636.260869565,18801.29608012413,5034284.0,4967060.0,0.0,0.0,0.0,0.0,0.0,0,192,0,0.2086690985774905,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0.0,195.8333333333333,188.0,0.0,0,0,0,1,196,0,0,0,0,23,8,6853683.375,2587018.067530256,9981208.0,4967060.0,5015430.583333334,9876.258745628484,5034284.0,5002003.0,DictionaryBruteForce
6,117506,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5306112028322,58753.0,52782.69278845103,96076.0,21430.0,117506.0,117506.0,0.0,117506.0,117506.0,0.0,0.0,0.0,0.0,0.0,0,60,40,17.020407468554797,8.510203734277399,0.0,0.0,0.0,0.0,0.0,0,2,1,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29200,26847,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
6,117841,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.45803243353332,58920.5,50315.597228891165,94499.0,23342.0,117841.0,117841.0,0.0,117841.0,117841.0,0.0,0.0,0.0,0.0,0.0,0,60,40,16.97202162235555,8.486010811177774,0.0,0.0,0.0,0.0,0.0,0,2,1,0,2,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,29200,26847,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
17,35551,1,1,33.0,234.0,33.0,33.0,33.0,0.0,234.0,234.0,234.0,0.0,7510.337261961689,56.25720795476921,35551.0,0.0,35551.0,35551.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,28.128603977384603,28.128603977384603,33.0,234.0,100.0,116.04740410711476,13467.0,0,0,0,0,0,0,0,1.0,150.0,33.0,234.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
17,249867,1,1,4.0,20.0,4.0,4.0,4.0,0.0,20.0,20.0,20.0,0.0,96.05109918476629,8.00425826539719,249867.0,0.0,249867.0,249867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,4.002129132698595,4.002129132698595,4.0,20.0,9.333333333333332,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,14.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
17,188112,1,1,4.0,20.0,4.0,4.0,4.0,0.0,20.0,20.0,20.0,0.0,127.58356723653992,10.631963936378328,188112.0,0.0,188112.0,188112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,5.315981968189164,5.315981968189164,4.0,20.0,9.333333333333332,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,14.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
17,92434,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,1038.5788779020706,21.63705995629314,92434.0,0.0,92434.0,92434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,10.81852997814657,10.81852997814657,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
17,10022538,2,2,54.0,118.0,27.0,27.0,27.0,0.0,59.0,59.0,59.0,0.0,17.161321812898088,0.3991005072766997,3340846.0,5757555.399570985,9989093.0,9439.0,10013099.0,10013099.0,0.0,10013099.0,10013099.0,9998532.0,9998532.0,0.0,9998532.0,9998532.0,0,16,16,0.1995502536383498,0.1995502536383498,27.0,59.0,39.8,17.527121840165314,307.19999999999993,0,0,0,0,0,0,0,1.0,49.75,27.0,59.0,0,0,0,2,54,2,118,0,0,1,8,24006.0,0.0,24006.0,24006.0,9989093.0,0.0,9989093.0,9989093.0,DictionaryBruteForce
6,7008795,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5707115131773721,2336265.0,1536059.5383373003,4012692.0,996381.0,7008795.0,2336265.0,1536059.5383373003,4012692.0,996381.0,0.0,0.0,0.0,0.0,0.0,0,160,0,0.5707115131773721,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,14600,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
6,7007891,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5707851335016484,2335963.6666666665,1532243.221779863,4007845.0,998646.0,7007891.0,2335963.6666666665,1532243.221779863,4007845.0,998646.0,0.0,0.0,0.0,0.0,0.0,0,160,0,0.5707851335016484,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,2,0,0,0,14600,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
6,155313,6,4,57.0,778.0,57.0,0.0,9.5,23.27015255644019,778.0,0.0,194.5,389.0,5376.240237455976,64.38611062821528,17257.0,30871.75233121696,92068.0,1107.0,152959.0,30591.8,39913.26542892726,94775.0,3059.0,149258.0,49752.66666666667,48829.02129198714,98763.0,1107.0,0,200,136,38.63166637692917,25.75444425128612,0.0,778.0,75.9090909090909,233.48424124358127,54514.89090909092,2,2,0,2,9,0,0,0.0,83.5,9.5,194.5,0,0,0,0,0,0,0,64240,7240,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
6,23451067,23,27,1686.0,4211.0,976.0,0.0,73.30434782608694,200.19227911335835,1093.0,0.0,155.962962962963,345.81469932292674,251.45977366402988,2.13209914926259,478593.2040816327,1201223.648785444,4201740.0,1.0,23444914.0,1065677.9090909092,1641277.403482651,4225099.0,1.0,22716233.0,873701.2692307692,1557738.9803536804,4214751.0,2.0,0,768,872,0.9807656086607917,1.1513335406017988,0.0,1093.0,115.62745098039218,285.9885284961139,81789.43843137255,2,2,0,25,49,0,0,1.0,117.94,73.30434782608695,155.96296296296296,5133,14,3227,3,281,4,701,64240,502,12,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
17,21443,2,2,92.0,238.0,46.0,46.0,46.0,0.0,128.0,110.0,119.0,12.727922061357855,15389.637643986382,186.5410623513501,7147.666666666667,6614.802894518728,13059.0,3.0,3.0,3.0,0.0,3.0,3.0,8381.0,8381.0,0.0,8381.0,8381.0,0,16,16,93.27053117567505,93.27053117567505,46.0,128.0,75.2,40.487034961824506,1639.2,0,0,0,0,0,0,0,1.0,94.0,46.0,119.0,330,4,15389,0,0,0,0,0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
0,392601,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.094230529214139,392601.0,0.0,392601.0,392601.0,392601.0,392601.0,0.0,392601.0,392601.0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.094230529214139,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
