uint64 BYTES,uint64 BYTES_REV,uint64 FLOW_ID,uint64 LINK_BIT_FIELD,uint64 TCP_OPT,uint64 TCP_OPT_REV,macaddr DST_MAC,macaddr SRC_MAC,uint32 PACKETS,uint32 PACKETS_REV,uint32 TCP_MSS,uint32 TCP_MSS_REV,uint16 TCP_SYN_SIZE,uint16 TCP_WIN,uint16 TCP_WIN_REV,uint8 IP_FLG,uint8 IP_FLG_REV,uint8 IP_TTL,uint8 IP_TTL_REV,uint8 PROTOCOL,uint8 TCP_FLAGS,uint8 TCP_FLAGS_REV,uint32* DBI_BRST_BYTES,uint32* DBI_BRST_PACKETS,uint32* SBI_BRST_BYTES,uint32* SBI_BRST_PACKETS,time* DBI_BRST_TIME_START,time* DBI_BRST_TIME_STOP,time* SBI_BRST_TIME_START,time* SBI_BRST_TIME_STOP,uint32_D_PHISTS_IPT_bin0,uint32_D_PHISTS_IPT_bin1,uint32_D_PHISTS_IPT_bin2,uint32_D_PHISTS_IPT_bin3,uint32_D_PHISTS_IPT_bin4,uint32_D_PHISTS_IPT_bin5,uint32_D_PHISTS_IPT_bin6,uint32_D_PHISTS_IPT_bin7,sum_D_PHISTS_IPT,uint32_D_PHISTS_SIZES_bin0,uint32_D_PHISTS_SIZES_bin1,uint32_D_PHISTS_SIZES_bin2,uint32_D_PHISTS_SIZES_bin3,uint32_D_PHISTS_SIZES_bin4,uint32_D_PHISTS_SIZES_bin5,uint32_D_PHISTS_SIZES_bin6,uint32_D_PHISTS_SIZES_bin7,sum_D_PHISTS_SIZES,uint32_S_PHISTS_IPT_bin0,uint32_S_PHISTS_IPT_bin1,uint32_S_PHISTS_IPT_bin2,uint32_S_PHISTS_IPT_bin3,uint32_S_PHISTS_IPT_bin4,uint32_S_PHISTS_IPT_bin5,uint32_S_PHISTS_IPT_bin6,uint32_S_PHISTS_IPT_bin7,sum_S_PHISTS_IPT,uint32_S_PHISTS_SIZES_bin0,uint32_S_PHISTS_SIZES_bin1,uint32_S_PHISTS_SIZES_bin2,uint32_S_PHISTS_SIZES_bin3,uint32_S_PHISTS_SIZES_bin4,uint32_S_PHISTS_SIZES_bin5,uint32_S_PHISTS_SIZES_bin6,uint32_S_PHISTS_SIZES_bin7,sum_S_PHISTS_SIZES,int8_PPI_PKT_DIRECTIONS_0,int8_PPI_PKT_DIRECTIONS_1,int8_PPI_PKT_DIRECTIONS_2,int8_PPI_PKT_DIRECTIONS_3,int8_PPI_PKT_DIRECTIONS_4,int8_PPI_PKT_DIRECTIONS_5,int8_PPI_PKT_DIRECTIONS_6,int8_PPI_PKT_DIRECTIONS_7,int8_PPI_PKT_DIRECTIONS_8,int8_PPI_PKT_DIRECTIONS_9,int8_PPI_PKT_DIRECTIONS_10,int8_PPI_PKT_DIRECTIONS_11,int8_PPI_PKT_DIRECTIONS_12,int8_PPI_PKT_DIRECTIONS_13,int8_PPI_PKT_DIRECTIONS_14,int8_PPI_PKT_DIRECTIONS_15,int8_PPI_PKT_DIRECTIONS_16,int8_PPI_PKT_DIRECTIONS_17,int8_PPI_PKT_DIRECTIONS_18,int8_PPI_PKT_DIRECTIONS_19,int8_PPI_PKT_DIRECTIONS_20,int8_PPI_PKT_DIRECTIONS_21,int8_PPI_PKT_DIRECTIONS_22,int8_PPI_PKT_DIRECTIONS_23,int8_PPI_PKT_DIRECTIONS_24,int8_PPI_PKT_DIRECTIONS_25,int8_PPI_PKT_DIRECTIONS_26,int8_PPI_PKT_DIRECTIONS_27,int8_PPI_PKT_DIRECTIONS_28,int8_PPI_PKT_DIRECTIONS_29,uint8_PPI_PKT_FLAGS_0,uint8_PPI_PKT_FLAGS_1,uint8_PPI_PKT_FLAGS_2,uint8_PPI_PKT_FLAGS_3,uint8_PPI_PKT_FLAGS_4,uint8_PPI_PKT_FLAGS_5,uint8_PPI_PKT_FLAGS_6,uint8_PPI_PKT_FLAGS_7,uint8_PPI_PKT_FLAGS_8,uint8_PPI_PKT_FLAGS_9,uint8_PPI_PKT_FLAGS_10,uint8_PPI_PKT_FLAGS_11,uint8_PPI_PKT_FLAGS_12,uint8_PPI_PKT_FLAGS_13,uint8_PPI_PKT_FLAGS_14,uint8_PPI_PKT_FLAGS_15,uint8_PPI_PKT_FLAGS_16,uint8_PPI_PKT_FLAGS_17,uint8_PPI_PKT_FLAGS_18,uint8_PPI_PKT_FLAGS_19,uint8_PPI_PKT_FLAGS_20,uint8_PPI_PKT_FLAGS_21,uint8_PPI_PKT_FLAGS_22,uint8_PPI_PKT_FLAGS_23,uint8_PPI_PKT_FLAGS_24,uint8_PPI_PKT_FLAGS_25,uint8_PPI_PKT_FLAGS_26,uint8_PPI_PKT_FLAGS_27,uint8_PPI_PKT_FLAGS_28,uint8_PPI_PKT_FLAGS_29,uint16_PPI_PKT_LENGTHS_0,uint16_PPI_PKT_LENGTHS_1,uint16_PPI_PKT_LENGTHS_2,uint16_PPI_PKT_LENGTHS_3,uint16_PPI_PKT_LENGTHS_4,uint16_PPI_PKT_LENGTHS_5,uint16_PPI_PKT_LENGTHS_6,uint16_PPI_PKT_LENGTHS_7,uint16_PPI_PKT_LENGTHS_8,uint16_PPI_PKT_LENGTHS_9,uint16_PPI_PKT_LENGTHS_10,uint16_PPI_PKT_LENGTHS_11,uint16_PPI_PKT_LENGTHS_12,uint16_PPI_PKT_LENGTHS_13,uint16_PPI_PKT_LENGTHS_14,uint16_PPI_PKT_LENGTHS_15,uint16_PPI_PKT_LENGTHS_16,uint16_PPI_PKT_LENGTHS_17,uint16_PPI_PKT_LENGTHS_18,uint16_PPI_PKT_LENGTHS_19,uint16_PPI_PKT_LENGTHS_20,uint16_PPI_PKT_LENGTHS_21,uint16_PPI_PKT_LENGTHS_22,uint16_PPI_PKT_LENGTHS_23,uint16_PPI_PKT_LENGTHS_24,uint16_PPI_PKT_LENGTHS_25,uint16_PPI_PKT_LENGTHS_26,uint16_PPI_PKT_LENGTHS_27,uint16_PPI_PKT_LENGTHS_28,uint16_PPI_PKT_LENGTHS_29,time_PPI_PKT_TIMES_0,time_PPI_PKT_TIMES_1,time_PPI_PKT_TIMES_2,time_PPI_PKT_TIMES_3,time_PPI_PKT_TIMES_4,time_PPI_PKT_TIMES_5,time_PPI_PKT_TIMES_6,time_PPI_PKT_TIMES_7,time_PPI_PKT_TIMES_8,time_PPI_PKT_TIMES_9,time_PPI_PKT_TIMES_10,time_PPI_PKT_TIMES_11,time_PPI_PKT_TIMES_12,time_PPI_PKT_TIMES_13,time_PPI_PKT_TIMES_14,time_PPI_PKT_TIMES_15,time_PPI_PKT_TIMES_16,time_PPI_PKT_TIMES_17,time_PPI_PKT_TIMES_18,time_PPI_PKT_TIMES_19,time_PPI_PKT_TIMES_20,time_PPI_PKT_TIMES_21,time_PPI_PKT_TIMES_22,time_PPI_PKT_TIMES_23,time_PPI_PKT_TIMES_24,time_PPI_PKT_TIMES_25,time_PPI_PKT_TIMES_26,time_PPI_PKT_TIMES_27,time_PPI_PKT_TIMES_28,time_PPI_PKT_TIMES_29,LABEL
284,164,"6,93785192026397E+018",1,32888,32888,7c:a7:b0:cd:18:32,dc:a6:32:dc:27:d5,4,3,95683586,95683586,60,64240,28960,2,2,64,64,6,27,18,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666018578.238054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
56,72,"5,51822806364716E+018",1,0,0,3c:18:a0:41:c3:a0,94:39:e5:5d:27:a6,1,1,0,0,0,0,0,0,0,128,128,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1665765132.489563,1665765132.521204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
120,164,"1,82424353793881E+019",1,0,0,3c:18:a0:41:c3:a0,cc:f4:11:9c:d0:00,2,2,0,0,0,0,0,2,0,64,123,17,0,0,[],[],[],[],[],[],[],[],0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,48.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666014092.514719,1666014092.514721,1666014092.541109,1666014092.569199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
32,48,"1,16636457031067E+019",1,0,0,3c:18:a0:41:c3:a0,34:75:63:73:f3:36,1,1,0,0,0,0,0,2,2,64,39,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666014089.825367,1666014090.074509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
32,48,"1,68089948597875E+019",1,0,0,3c:18:a0:41:c3:a0,34:75:63:73:f3:36,1,1,0,0,0,0,0,2,2,64,48,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666014509.106371,1666014509.17438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
88,0,"4,80516819089445E+017",1,0,0,3c:18:a0:41:c3:a0,c0:e7:bf:0a:79:d1,2,0,0,0,0,0,0,2,0,64,0,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666013699.489331,1666013700.039789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
186,206,"1,0361836020457E+019",1,0,0,3c:18:a0:41:c3:a0,9c:8e:cd:1d:ab:9f,1,1,0,0,0,0,0,2,2,64,48,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666013814.863141,1666013815.023555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
92,44,"1,42415435795733E+019",1,0,0,3c:18:a0:41:c3:a0,c0:e7:bf:0a:79:d1,1,1,0,0,0,0,0,2,0,64,111,17,0,0,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666014299.048282,1666014299.275103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
100,60,"7,98635941497997E+018",1,32888,32888,3c:18:a0:41:c3:a0,10:2c:6b:1b:43:be,2,1,95683586,95683586,60,29200,26847,2,2,255,42,6,22,18,[],[],[],[],[],[],[],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
1228,7173,"1,44112519260125E+019",1,32888,32888,3c:18:a0:41:c3:a0,28:6d:97:9e:f4:d5,14,14,95683586,94372866,60,29200,65535,2,2,64,247,6,27,27,[6437],[5],[492],[6],[2022-10-17T13:27:34.068092],[2022-10-17T13:27:34.265523],[2022-10-17T13:27:34.068290],[2022-10-17T13:27:34.291192],0.5,0.0,0.25,0.0,0.25,0.0,0.0,0.0,4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.6,5,0.4,0.2,0.2,0.0,0.2,0.0,0.0,0.0,5,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,6,-1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,16.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2856.0,246.0,1428.0,1595.0,51.0,42.0,6.0,45.0,122.0,507.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1666013254.068092,1666013254.06829,1666013254.068436,1666013254.069923,1666013254.127295,1666013254.127873,1666013254.127875,1666013254.127876,1666013254.265353,1666013254.265523,1666013254.291192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
