Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
6,11468601,11,5,11426.0,536.0,2888.0,0.0,1038.7272727272727,1337.6809852060462,536.0,0.0,107.2,239.70648718797744,1043.0217251432848,1.395113492918622,764573.4,1282033.8169542395,3847636.0,0.0,7616100.0,761610.0,1120157.9941948666,3091771.0,443.0,5333437.0,1333359.25,1816532.968003861,3847636.0,0.0,0,376,176,0.9591405263815526,0.4359729665370693,0.0,2888.0,703.6470588235295,1162.773405546867,1352041.992647059,1,5,0,7,13,0,0,0.0,747.625,1038.7272727272727,107.2,11426,6,643935,2,2856,1,134,64240,243,6,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
6,32128109,21,11,27647.0,0.0,2896.0,0.0,1316.5238095238094,1031.139302861045,0.0,0.0,0.0,0.0,860.5237239452841,0.996012557103812,1036390.612903226,5015765.407811545,27997549.0,0.0,32128109.0,1606405.4499999995,6565666.377720875,29465834.0,0.0,3049410.0,304941.0,520524.4080745238,1411779.0,0.0,0,676,368,0.6536332405993767,0.3423793165044353,0.0,2896.0,837.7878787878786,1038.3366734101637,1078143.0473484849,1,4,1,12,29,0,0,0.0,863.96875,1316.5238095238096,0.0,13823,8,457815,7,9215,3,0,64240,357,16,20,4130560.0,0.0,4130560.0,4130560.0,27997549.0,0.0,27997549.0,27997549.0,DoS
17,115535394,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1644517696455858,6418633.0,2607767.702437628,15998215.0,4890221.0,115535394.0,6418633.0,2607767.702437628,15998215.0,4890221.0,0.0,0.0,0.0,0.0,0.0,0,152,0,0.1644517696455858,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,8,4936215.5,65046.04569456932,4982210.0,4890221.0,6603935.187500001,2716111.754452879,15998215.0,5069924.0,DoS
17,116842859,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1711700669700319,6149624.157894736,1235410.5240059665,8655717.0,4852538.0,116842859.0,6149624.157894736,1235410.5240059665,8655717.0,4852538.0,0.0,0.0,0.0,0.0,0.0,0,160,0,0.1711700669700319,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,8,4852538.0,0.0,4852538.0,4852538.0,6221684.5,1229452.3878436214,8655717.0,5022681.0,DoS
6,42064778,29,18,40937.0,7476.0,2896.0,0.0,1411.6206896551723,1011.2610025462942,2896.0,0.0,415.33333333333326,850.987246742069,1150.9153810344608,1.1173243324854825,914451.695652174,3511692.886542152,23551675.0,0.0,42064778.0,1502313.5,5391809.308962537,28712262.0,1.0,40064155.0,2356715.0,5647144.200014331,23551675.0,0.0,0,932,652,0.6894128860016806,0.4279114464838017,0.0,2896.0,1008.6041666666666,1061.9954068815875,1127834.2442375887,1,4,1,19,44,0,0,0.0,1030.063829787234,1411.6206896551723,415.3333333333333,9341,5,35374,3,5117,2,934,64240,365,24,20,18494591.0,0.0,18494591.0,18494591.0,23551675.0,0.0,23551675.0,23551675.0,DoS
6,19816215,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3027823426421241,3963243.0,3336701.5909948405,7131199.0,109610.0,19816215.0,4954053.75,2888436.2211699,7131199.0,698061.0,0.0,0.0,0.0,0.0,0.0,0,100,24,0.2523186188684367,0.0504637237736873,0.0,0.0,0.0,0.0,0.0,0,5,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,512,29200,0,20,0.0,0.0,0.0,0.0,6372718.0,662530.1353757427,7131199.0,5907013.0,DoS
6,59916975,13,8,5090.0,536.0,1444.0,0.0,391.5384615384616,615.7488145048292,536.0,0.0,67.0,189.5046173579948,93.89659608149444,0.350484983596051,2995848.75,4941919.545472396,15808532.0,0.0,59840038.0,4986669.833333333,5640633.700726201,15954936.0,1820.0,43707972.0,6243996.0,10419249.904473975,27511229.0,0.0,0,456,300,0.2169668946070792,0.1335180889889718,0.0,1444.0,255.72727272727275,506.6822223631637,256726.8744588745,1,9,0,3,16,0,0,0.0,267.9047619047619,391.5384615384616,67.0,0,0,0,1,509,0,53,64240,243,5,32,3800129.666666667,3534654.2349347738,6992908.0,1831.0,12109345.75,3135182.9987223367,15808532.0,8203140.0,DoS
6,3424280,16,5,16336.0,138.0,2896.0,0.0,1021.0,965.0022452478198,138.0,0.0,27.6,61.715476178994194,4810.938357844569,6.132676066209539,171214.00000000003,342930.9105871112,1002974.0,0.0,3424280.0,228285.33333333337,391414.2717035725,1002974.0,0.0,1582494.0,395623.5,438739.7517910437,784193.0,0.0,0,516,176,4.672515098064411,1.4601609681451284,0.0,2896.0,748.8181818181819,934.2812178029664,872881.3939393942,0,4,1,8,18,0,0,0.0,784.4761904761905,1021.0,27.6,11992,9,1927664,16,16336,5,138,64240,1153,11,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DoS
17,115916228,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1639114757943987,6439790.444444444,1909875.6303546303,12355377.0,4742577.0,115916228.0,6439790.444444444,1909875.6303546303,12355377.0,4742577.0,0.0,0.0,0.0,0.0,0.0,0,152,0,0.1639114757943987,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,8,4812393.0,98734.73407064,4882209.0,4742577.0,6643215.125000001,1932889.454599956,12355377.0,5233126.0,DoS
6,26046645,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2687486238630733,4341107.5,3171683.437726517,7081251.0,112945.0,26046645.0,5209329.0,2635501.9362469646,7081251.0,555018.0,0.0,0.0,0.0,0.0,0.0,0,120,24,0.2303559633112057,0.0383926605518676,0.0,0.0,0.0,0.0,0.0,0,6,1,0,1,0,0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,512,29200,0,20,0.0,0.0,0.0,0.0,6372906.75,484843.0048117809,7081251.0,5981451.0,DoS
