Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
17,61569,1,1,4.0,20.0,4.0,4.0,4.0,0.0,20.0,20.0,20.0,0.0,389.8065584953467,32.48387987461222,61569.0,0.0,61569.0,61569.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,16.24193993730611,16.24193993730611,4.0,20.0,9.333333333333332,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,14.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
6,262776,3,4,251.0,7.0,251.0,0.0,83.66666666666667,144.91491756659607,7.0,0.0,1.75,3.5000000000000004,981.824824184857,26.638658020519376,43796.0,54868.2530722457,123174.0,0.0,163810.0,81905.0,114835.5554782577,163106.0,704.0,139602.0,46534.0,80599.25227941014,139602.0,0.0,0,104,136,11.416567723079734,15.222090297439644,0.0,251.0,32.25,88.42228225962052,7818.5,1,2,0,2,6,0,0,1.0,36.85714285714285,83.66666666666667,1.75,0,0,0,0,0,0,0,14600,508,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
17,43056,1,1,4.0,20.0,4.0,4.0,4.0,0.0,20.0,20.0,20.0,0.0,557.4136008918618,46.45113340765515,43056.0,0.0,43056.0,43056.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,23.22556670382757,23.22556670382757,4.0,20.0,9.333333333333332,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,14.0,4.0,20.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
17,19513,1,1,44.0,28.0,44.0,44.0,44.0,0.0,28.0,28.0,28.0,0.0,3689.847793778507,102.49577204940296,19513.0,0.0,19513.0,19513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,51.24788602470149,51.24788602470149,28.0,44.0,38.66666666666666,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,58.0,44.0,28.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
17,58,1,1,65.0,149.0,65.0,65.0,65.0,0.0,149.0,149.0,149.0,0.0,3689655.172413793,34482.75862068965,58.0,0.0,58.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,17241.379310344826,17241.379310344826,65.0,149.0,93.0,48.49742261192856,2352.0,0,0,0,0,0,0,0,1.0,139.5,65.0,149.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
6,259526,3,4,251.0,7.0,251.0,0.0,83.66666666666667,144.91491756659607,7.0,0.0,1.75,3.5000000000000004,994.120049628939,26.972249408537103,43254.33333333333,61352.58877884997,133249.0,0.0,148015.0,74007.5,103669.63229654092,147313.0,702.0,126277.0,42092.33333333333,71563.61412291399,124722.0,0.0,0,104,136,11.559535460801616,15.412713947735488,0.0,251.0,32.25,88.42228225962052,7818.5,1,2,0,2,6,0,0,1.0,36.85714285714285,83.66666666666667,1.75,0,0,0,0,0,0,0,14600,508,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
17,18039,1,1,28.0,44.0,28.0,28.0,28.0,0.0,44.0,44.0,44.0,0.0,3991.352070513887,110.87089084760797,18039.0,0.0,18039.0,18039.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,55.43544542380398,55.43544542380398,28.0,44.0,33.333333333333336,9.237604307034012,85.33333333333333,0,0,0,0,0,0,0,1.0,50.0,28.0,44.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
17,33340,1,1,48.0,48.0,48.0,48.0,48.0,0.0,48.0,48.0,48.0,0.0,2879.4241151769643,59.98800239952009,33340.0,0.0,33340.0,33340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,8,29.99400119976005,29.99400119976005,48.0,48.0,48.0,0.0,0.0,0,0,0,0,0,0,0,1.0,72.0,48.0,48.0,0,0,0,0,0,0,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
17,3026054,4,0,700.0,0.0,175.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,231.3243583888457,1.3218534765076897,1008684.6666666666,1632.4831801073274,1009736.0,1006804.0,3026054.0,1008684.6666666666,1632.4831801073274,1009736.0,1006804.0,0.0,0.0,0.0,0.0,0.0,0,32,0,1.3218534765076897,0.0,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0.0,218.75,175.0,0.0,0,0,0,1,233,0,0,0,0,3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
6,215647,3,4,196.0,375.0,196.0,0.0,65.33333333333333,113.16065276116665,375.0,0.0,93.75,187.5,2647.845785009761,32.46045620852597,35941.16666666667,40537.03482701549,90269.0,0.0,148962.0,74481.0,104438.25736769068,148330.0,632.0,125378.0,41792.66666666667,72387.0220504569,125378.0,0.0,0,104,136,13.911624089368273,18.54883211915769,0.0,375.0,71.37500000000001,140.55292597452393,19755.125,1,2,0,2,6,0,0,1.0,81.57142857142857,65.33333333333333,93.75,0,0,0,0,0,0,0,14600,508,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Recon
