Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.32-255.255.255.255-49154-6667-17,192.168.137.32,49154,255.255.255.255,6667,17,17/10/2022 03:21:02 p. m.,119999987,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.16667090972268,0.2083333559027802,4999999.458333334,3796.6658597198175,5010497.0,4989036.0,119999987.0,4999999.458333334,3796.6658597198175,5010497.0,4989036.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083333559027802,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,7496975.500000001,2673254.7328038155,9999101.0,4989036.0,5002015.250000001,3242.942186152561,5010497.0,5000024.0,DictionaryBruteForce
192.168.137.32-255.255.255.255-49154-6667-17,192.168.137.32,49154,255.255.255.255,6667,17,17/10/2022 03:37:27 p. m.,119999962,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.16667906944837,0.2083333993055764,4999998.416666666,2685.6882514651647,5005760.0,4993081.0,119999962.0,4999998.416666666,2685.6882514651647,5005760.0,4993081.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083333993055764,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,9372098.125,3205176.1402162523,14997051.0,4993081.0,5002575.222222222,1595.2234779003086,5005760.0,5000353.0,DictionaryBruteForce
192.168.137.32-255.255.255.255-49154-6667-17,192.168.137.32,49154,255.255.255.255,6667,17,17/10/2022 03:39:32 p. m.,119999956,24,0,4512.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,37.60001378667173,0.2000000733333602,5217389.391304348,1042543.9698828378,9999863.0,4997125.0,119999956.0,5217389.391304348,1042543.9698828378,9999863.0,4997125.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0,0.2000000733333602,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.8333333333333,188.0,0.0,0,0,0,0,0,0,1,196,0,0,0,0,23,8,8569451.142857144,4755088.8287521135,14998420.0,4997935.0,5455799.818181818,1507095.7514144096,9999863.0,5000012.0,DictionaryBruteForce
3.223.181.245-192.168.137.238-443-57602-6,3.223.181.245,443,192.168.137.238,57602,6,17/10/2022 03:43:35 p. m.,119999887,11,6,276.0,230.0,46.0,0.0,25.09090909090909,24.022716521886306,46.0,0.0,38.333333333333336,18.7794213613377,4.21667063736485,0.14166680006957,7499992.937499998,12739797.85346805,29962731.0,0.0,119999887.0,11999988.7,14521270.652066356,29962731.0,0.0,115271747.0,23054349.4,12893233.309896933,29999363.0,283352.0,1,0,0,0,352,192,0.0916667529861924,0.0500000470833776,0.0,46.0,30.66666666666667,22.31327750334263,497.8823529411764,0,0,0,11,17,0,0,0,0.0,32.47058823529412,25.09090909090909,38.333333333333336,0,0,0,0,0,0,2,55,1,46,1528,2410,5,32,93361.0,102578.45947046258,246906.0,37295.0,28711564.0,2364326.526702407,29962731.0,25168168.0,DictionaryBruteForce
192.168.137.24-255.255.255.255-49154-6667-17,192.168.137.24,49154,255.255.255.255,6667,17,17/10/2022 03:29:06 p. m.,119999882,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.16670518059343,0.2083335381946459,4999995.083333334,6331.002694928147,5017188.0,4979857.0,119999882.0,4999995.083333334,6331.002694928147,5017188.0,4979857.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083335381946459,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,6869443.125,2588831.940634642,9997518.0,4979857.0,5003817.416666666,4529.497111527183,5017188.0,5000906.0,DictionaryBruteForce
44.199.80.228-192.168.137.233-443-56398-6,44.199.80.228,443,192.168.137.233,56398,6,17/10/2022 03:25:43 p. m.,119999794,12,8,354.0,479.0,78.0,0.0,29.5,27.530148762930622,295.0,0.0,59.875,97.69403768910362,6.941678583214902,0.1666669527782689,6315778.6315789465,11301053.116285792,29917055.0,0.0,119999794.0,10909072.181818182,13232126.796666157,29917055.0,0.0,91199398.0,13028485.42857143,13810608.251533972,31381077.0,2.0,1,0,0,0,384,268,0.1000001716669613,0.0666667811113075,0.0,295.0,41.85714285714286,63.0842973443358,3979.628571428572,0,0,0,12,20,0,0,0,0.0,43.95,29.5,59.875,0,0,0,0,0,0,2,70,1,95,849,3266,6,32,379509.6,587220.6771749442,1423097.0,43755.0,23620449.2,8155580.426449959,29917055.0,12450408.0,DictionaryBruteForce
44.199.80.228-192.168.137.233-443-56398-6,44.199.80.228,443,192.168.137.233,56398,6,17/10/2022 03:21:13 p. m.,119999626,14,10,400.0,774.0,78.0,0.0,28.571428571428573,26.98636204203405,295.0,0.0,77.39999999999999,116.71732233620396,9.783363824817254,0.200000623335276,5217375.04347826,10440449.213041248,29957154.0,1.0,119999626.0,9230740.461538462,12652853.358610991,29957154.0,1.0,90036458.0,10004050.888888888,13007695.75860663,31906111.0,1.0,1,0,0,0,460,344,0.116667030278911,0.083333593056365,0.0,295.0,48.79999999999999,77.99305524639144,6082.916666666667,0,0,0,14,24,0,0,0,0.0,50.833333333333336,28.571428571428573,77.4,0,0,0,0,0,0,2,66,1,129,828,3266,7,32,523405.6,818780.577906743,1948642.0,42092.0,23476519.6,8167096.211203453,29957154.0,12541383.0,DictionaryBruteForce
192.168.137.24-44.235.194.199-9424-8886-6,192.168.137.24,9424,44.235.194.199,8886,6,17/10/2022 03:40:33 p. m.,119999602,5,2,138.0,138.0,69.0,0.0,27.6,37.79285646785646,69.0,69.0,69.0,0.0,2.300007628358634,0.0583335268061972,19999933.666666668,30834619.91445212,59808444.0,73295.0,119999602.0,29999900.5,34418560.23580202,59808444.0,191266.0,59997485.0,59997485.0,0.0,59997485.0,59997485.0,0,0,0,0,100,40,0.0416668048615694,0.0166667219446277,0.0,69.0,34.5,36.882051383914565,1360.2857142857142,0,0,0,4,7,0,0,0,0.0,39.42857142857143,27.6,69.0,0,0,0,0,0,0,2,69,1,69,3414,3969,2,20,191266.0,0.0,191266.0,191266.0,59807248.0,1691.3994205982217,59808444.0,59806052.0,DictionaryBruteForce
192.168.137.41-239.255.255.251-10101-10101-17,192.168.137.41,10101,239.255.255.251,10101,17,17/10/2022 03:37:58 p. m.,119999253,3,0,114.0,0.0,38.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.9500059137868132,0.0250001556259687,59999626.5,1034.497220875919,60000358.0,59998895.0,119999253.0,59999626.5,1034.497220875919,60000358.0,59998895.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0,0.0250001556259687,0.0,38.0,38.0,38.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,50.66666666666666,38.0,0.0,0,0,0,0,0,0,1,57,0,0,0,0,2,8,0.0,0.0,0.0,0.0,59999626.5,1034.497220875919,60000358.0,59998895.0,DictionaryBruteForce
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,17/10/2022 03:31:03 p. m.,119999126,282,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3500171159579946,427043.1530249109,470046.3986791563,2289555.0,1.0,119999126.0,427043.1530249109,470046.3986791563,2289555.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2.3500171159579946,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,DictionaryBruteForce
192.168.137.228-255.255.255.255-49154-6667-17,192.168.137.228,49154,255.255.255.255,6667,17,17/10/2022 03:39:24 p. m.,119998600,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.16712361644219,0.2083357639172457,4999941.666666667,4253.10936555375,5008172.0,4990059.0,119998600.0,4999941.666666667,4253.10936555375,5008172.0,4990059.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083357639172457,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,7495231.875,3779127.111110918,14993027.0,4990059.0,5003062.083333334,2900.031769679664,5008172.0,5000029.0,DictionaryBruteForce
192.168.137.23-44.197.184.121-50375-443-6,192.168.137.23,50375,44.197.184.121,443,6,17/10/2022 03:48:11 p. m.,119998428,9,4,297.0,228.0,60.0,0.0,33.0,31.32091952673165,57.0,57.0,57.0,0.0,4.375057313250803,0.1083347525185913,9999869.0,14745550.135626452,29981741.0,15583.0,119982164.0,14997770.5,16001110.869071951,29981741.0,17066.0,90004276.0,30001425.33333333,22785.518478483944,30019659.0,29975882.0,1,0,0,0,288,128,0.0750009825128709,0.0333337700057204,0.0,60.0,41.57142857142858,27.31501217480765,746.1098901098902,0,0,0,9,13,0,0,0,0.0,44.76923076923077,33.0,57.0,0,0,0,0,0,0,2,74,1,57,299,299,4,32,30106.25,9062.54549873636,37819.0,17066.0,29965434.75,16453.11835438273,29981741.0,29944330.0,DictionaryBruteForce
192.168.137.10-255.255.255.255-49154-6667-17,192.168.137.10,49154,255.255.255.255,6667,17,17/10/2022 03:41:09 p. m.,119998403,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.1671879166592,0.2083361059396765,4999933.458333334,4661.110214634633,5012384.0,4986277.0,119998403.0,4999933.458333334,4661.110214634633,5012384.0,4986277.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083361059396765,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,6107219.333333333,2202533.4066682733,9998305.0,4994141.0,5002571.461538461,3359.645581887731,5012384.0,5000036.0,DictionaryBruteForce
192.168.137.223-44.235.194.199-13340-8886-6,192.168.137.223,13340,44.235.194.199,8886,6,17/10/2022 03:36:37 p. m.,119997999,6,3,207.0,207.0,69.0,0.0,34.5,37.79285646785646,69.0,69.0,69.0,0.0,3.450057529709308,0.0750012506458545,14999749.875,27013958.433848,59724118.0,72545.0,119997999.0,23999599.8,31736264.021513853,59724118.0,273786.0,59999871.0,29999935.5,40878627.20181465,58905490.0,1094381.0,1,0,0,0,120,60,0.050000833763903,0.0250004168819515,0.0,69.0,48.3,33.33016651623571,1110.9,0,0,0,6,9,0,0,0,0.0,53.66666666666666,34.5,69.0,0,0,0,0,0,0,2,69,1,69,3759,3734,2,20,1244429.0,1372696.4948225082,2215072.0,273786.0,58754570.5,1371147.2238649284,59724118.0,57785023.0,DictionaryBruteForce
192.168.137.109-54.188.99.4-2268-8886-6,192.168.137.109,2268,54.188.99.4,8886,6,17/10/2022 03:46:33 p. m.,119997966,6,2,207.0,138.0,69.0,0.0,34.5,37.79285646785646,69.0,69.0,69.0,0.0,2.8750487320760088,0.0666677966858204,17142566.57142857,29061262.8900211,59685807.0,22064.0,119997966.0,23999593.2,32575115.596890025,59685807.0,96702.0,60001072.0,60001072.0,0.0,60001072.0,60001072.0,1,0,0,0,120,40,0.0500008475143653,0.0166669491714551,0.0,69.0,46.0,34.5,1190.25,0,0,0,5,8,0,0,0,0.0,51.75,34.5,69.0,0,0,0,0,0,0,3,103,1,69,3968,3968,2,20,266892.0,74365.00596382683,319476.0,214308.0,59683740.0,2923.179433425188,59685807.0,59681673.0,DictionaryBruteForce
192.168.137.228-255.255.255.255-49154-6667-17,192.168.137.228,49154,255.255.255.255,6667,17,17/10/2022 03:35:19 p. m.,119997816,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.1673795129738,0.2083371250690096,4999909.0,10039.245346659987,5025892.0,4976487.0,119997816.0,4999909.0,10039.245346659987,5025892.0,4976487.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083371250690096,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,12991806.4,10945047.357678508,24991505.0,4996994.0,5006179.399999999,9494.011881180728,5025892.0,5000013.0,DictionaryBruteForce
