src_ip,dst_ip,src_port,dst_port,start_epoch,flow_duration_s,srcport.std,dstport.std,frame.len.min,frame.len.max,frame.len.std,frame.len.mean,frame.len.rate,ip.flags.rb,ip.flags.df,ip.flags.mf,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,int.std,int.min,int.max,int.mean,count,ip.ttl.std,ip.ttl.min,ip.ttl.max,ip.ttl.mean,ip.checksum.status.std,ip.checksum.status.min,ip.checksum.status.max,ip.checksum.status.mean,l4.checksum.status.std,l4.checksum.status.min,l4.checksum.status.max,l4.checksum.status.mean,tcp.seq_raw.std,tcp.seq_raw.min,tcp.seq_raw.max,tcp.seq_raw.mean,tcp.ack_raw.std,tcp.ack_raw.min,tcp.ack_raw.max,tcp.ack_raw.mean,tcp.window_size_value.std,tcp.window_size_value.min,tcp.window_size_value.max,tcp.window_size_value.mean,duration,prate,payload.std,payload.min,payload.max,payload.mean,proto,category
192.168.137.174,185.209.178.72,4608,443,1665764280.612818,899.6930379867554,2001.7195705008048,2001.719570500805,60,3967,280.99652202092085,135.40791863421722,414.3390959589573,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.634217217580821,0.0,0.0,0.0,14.888968470546969,0.0,781.151074886322,0.3268045906235944,2753,36.04537041718134,53.0,128.0,80.13403559752997,0.0,2.0,2.0,2.0,0.0,2,2,2.0,488653289.6653626,2135900230,3153397074,2504161982.6106067,488623824.3008978,2135900230,3153397074,2785235091.201235,135.01827847654585,510,815,692.2488194696695,899.6930379867554,3.059932536724295,281.66499329729544,0,3913,78.94805666545587,TCP,DictionaryBruteForce
192.168.137.51,54.218.246.107,45050,443,1665764280.892472,897.3305530548096,22783.2000405333,22783.2000405333,66,66,0.0,66.0,1.6916842905128178,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,164.877839526029,0.0,794.872318983078,39.01437187194824,23,86.31741221893711,64.0,233.0,144.82608695652175,0.0,2.0,2.0,2.0,0.0,2,2,2.0,435872517.8652662,592905758,1446296212,1001049018.652174,435872517.8420501,592905759,1446296212,1038152951.8695652,398.8988103135496,219,1000,626.4782608695652,897.3305530548096,0.0256315801592851,0.0,0,0,0.0,TCP,DictionaryBruteForce
192.168.137.78,52.15.60.193,42972,443,1665764280.905407,888.5547471046448,21432.6014301459,21432.6014301459,66,516,93.10482230533462,108.71428571428572,3.4257877861987374,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3571428571428571,0.0,0.0,0.0,151.5278580569432,0.0,804.3409280776978,31.73409811088017,28,86.67985247678278,64.0,236.0,137.71428571428572,0.0,2.0,2.0,2.0,0.0,2,2,2.0,1182845350.299059,1617926433,3965072361,2959148962.571429,1182846805.7471354,1617926387,3965072507,2623844737.928571,652.6186567292657,27,1322,767.0,888.5547471046448,0.0315118456023537,93.10482230533462,0,450,42.71428571428572,TCP,DictionaryBruteForce
192.168.137.163,120.76.210.199,41643,80,1665764281.507585,7.007093906402588,0.0,0.0,74,74,0.0,74.0,42.24290468399976,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.711432151014472,0.0,4.009690999984741,1.751773476600647,4,0.0,64.0,64.0,64.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,3112436591,3112436591,3112436591.0,0.0,0,0,0.0,0.0,14600,14600,14600.0,7.007093906402588,0.5708500632972939,0.0,0,0,0.0,TCP,DictionaryBruteForce
192.168.137.1,192.168.137.201,1323,8009,1665764282.488955,898.2992589473724,3139.3006336923345,3139.300633692335,60,164,49.75035486382667,127.97222222222224,10.25716086062118,0.0,0.3194444444444444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6527777777777778,0.0,0.0,0.0,92.6658761683802,0.0,787.6165511608124,12.476378596491283,72,30.0501406754875,64.0,128.0,107.55555555555556,0.0,2.0,2.0,2.0,0.0,2,2,2.0,473110797.7020401,1564464964,2572103024,2250215051.9166665,473110206.0107374,1564464964,2572102914,1886352937.6111112,243.29581516668404,507,1026,859.6388888888889,898.2992589473724,0.080151463204333,52.737094112793685,0,110,71.80555555555556,TCP,DictionaryBruteForce
192.168.137.163,47.254.83.84,59239,1340,1665764283.317185,0.2077841758728027,30948.31729097492,30948.31729097492,66,74,3.903600291794133,68.28571428571429,2300.463921240146,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.0,0.2857142857142857,0.2857142857142857,0.0419612764013274,0.0,0.1010620594024658,0.0296834536961146,7,25.12255673976789,64.0,111.0,84.14285714285714,0.0,2.0,2.0,2.0,0.0,2,2,2.0,1531905711.8718944,161726039,3027659202,1799402131.857143,1554569168.8248034,0,3027659202,1366879389.4285717,5180.18964995721,1029,14600,4332.142857142857,0.2077841758728027,33.68880219389336,0.0,0,0,0.0,TCP,DictionaryBruteForce
192.168.137.162,3.223.181.245,45480,443,1665764283.360333,837.6626329421997,26002.124073493174,26002.124073493174,66,66,0.0,66.0,0.315162679601367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,418.7982934395407,0.0,837.6130981445312,209.41565823554996,4,100.45894683899488,64.0,238.0,151.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,2185399928.2001896,495835263,4281059710,2388447737.75,2185399927.6228395,495835264,4281059710,2388447738.25,57.390475400249706,410,531,453.5,837.6626329421997,0.0047751921151722,0.0,0,0,0.0,TCP,DictionaryBruteForce
192.168.137.253,44.225.68.45,49708,443,1665764283.391504,57.587822914123535,24757.312597861157,24757.312597861157,66,101,13.976083656326985,73.47169811320755,67.61846173290549,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2264150943396226,0.0,0.0,0.0,1.3516409202634443,0.0,3.0862300395965576,1.086562696492897,53,84.92816054071928,64.0,233.0,140.52830188679246,0.0,2.0,2.0,2.0,0.0,2,2,2.0,178856240.87738618,118111411,474020704,312854216.0377358,178856245.5691426,118111411,474020704,279277890.6037736,817.6219952647946,191,1818,1081.245283018868,57.587822914123535,0.9203334545053904,13.976083656326985,0,35,7.471698113207547,TCP,DictionaryBruteForce
20.8.168.85,192.168.137.165,25050,50671,1665764283.784765,880.6535589694977,13695.00055807645,13695.00055807645,60,60,0.0,60.0,0.5450497475552987,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,286.8583938403832,0.0,819.1898579597473,110.0816948711872,8,111.18067663556856,47.0,255.0,151.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,870722335.1117815,2146670884,3775643486,2961157236.75,870722335.646304,2146670884,3775643487,2961157237.25,32978.49627950224,2288,64070,33221.5,880.6535589694977,0.0090841624592549,0.0,0,0,0.0,TCP,DictionaryBruteForce
192.168.137.162,52.217.104.252,54248,80,1665764284.112904,0.2361588478088379,27818.11674999736,27818.11674999736,60,473,164.84998175164134,154.14285714285714,9137.917211328975,0.0,0.9285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.9285714285714286,0.2857142857142857,0.0,0.1428571428571428,0.1428571428571428,0.024377855319222,0.0,0.0895719528198242,0.0168684891292027,14,87.64689396651785,64.0,235.0,137.14285714285714,0.0,2.0,2.0,2.0,0.0,2,2,2.0,591044670.360565,1979248051,3130142801,2472488476.285714,900916853.6306776,0,3130142802,2413320468.714286,10514.923273640632,229,29200,4380.714285714285,0.2361588478088379,59.282132047546646,168.4860185936461,0,419,94.0,TCP,DictionaryBruteForce
