c_iscrypto,s_iscrypto,s_pkts_all,c_isint,s_isint,c_port,fqdn,s_ip,c_pkts_all,c_ip,c_bytes_all,s_port,s_bytes_all,c_rst_cnt,c_ack_cnt,c_ack_cnt_p,c_bytes_uniq,c_pkts_data,c_pkts_retx,c_bytes_retx,c_pkts_ooo,c_syn_cnt,c_fin_cnt,s_rst_cnt,s_ack_cnt,s_ack_cnt_p,s_bytes_uniq,s_pkts_data,s_pkts_retx,s_bytes_retx,s_pkts_ooo,s_syn_cnt,s_fin_cnt,first,last,durat,c_first,s_first,c_last,s_last,c_first_ack,s_first_ack,con_t,p2p_t,http_t,c_rtt_avg,c_rtt_min,c_rtt_max,c_rtt_std,c_rtt_cnt,c_ttl_min,c_ttl_max,s_rtt_avg,s_rtt_min,s_rtt_max,s_rtt_std,s_rtt_cnt,s_ttl_min,s_ttl_max,p2p_st,ed2k_data,ed2k_sig,ed2k_c2s,ed2k_c2c,ed2k_chat,c_f1323_opt,c_tm_opt,c_win_scl,c_sack_opt,c_sack_cnt,c_mss,c_mss_max,c_mss_min,c_win_max,c_win_min,c_win_0,c_cwin_max,c_cwin_min,c_cwin_ini,c_pkts_rto,c_pkts_fs,c_pkts_reor,c_pkts_dup,c_pkts_unk,c_pkts_fc,c_pkts_unrto,c_pkts_unfs,c_syn_retx,s_f1323_opt,s_tm_opt,s_win_scl,s_sack_opt,s_sack_cnt,s_mss,s_mss_max,s_mss_min,s_win_max,s_win_min,s_win_0,s_cwin_max,s_cwin_min,s_cwin_ini,s_pkts_rto,s_pkts_fs,s_pkts_reor,s_pkts_dup,s_pkts_unk,s_pkts_fc,s_pkts_unrto,s_pkts_unfs,s_syn_retx,http_req_cnt,http_res_cnt,http_res,c_pkts_push,s_pkts_push,c_tls_SNI,s_tls_SCN,c_npnalpn,s_npnalpn,c_tls_sesid,c_last_handshakeT,s_last_handshakeT,c_appdataT,s_appdataT,c_appdataB,s_appdataB,dns_rslv,req_tm,res_tm,c_first_abs,c_durat,c_type,s_first_abs,s_durat,s_type,protocolo,etiqueta
0,0,3,1,1,59239,-,47.254.83.84,4,192.168.137.163,0,1340,0,0,3,2,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1665764283317.185,1665764283524.9688,207.784,0.0,0.0,0.0,0.0,111.737,190.28,0,0,0,89.572021,78.091,101.062,0.0,2,64,64,14.088296,10.675,17.503,0.0,2,111,111,0,0,0,0,0,0,1,1,3,1,0,1460,0,0,14600,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,0,0,263424,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,6,1,1,54248,spectrum.s3.amazonaws.com,52.217.104.252,8,192.168.137.162,122,80,1194,0,7,5,122,1,0,0,0,1,1,0,6,1,775,3,1,419,0,1,1,1665764284112.904,1665764284349.0627,236.159,56.166,82.133,56.166,98.253,56.163,78.413,1,0,1,30.013,22.247,45.43,13.350778,3,64,64,11.552961,9.393,16.692,3.483498,4,234,235,0,0,0,0,0,0,1,1,7,1,1,1460,122,122,31360,29200,0,122,122,122,0,0,0,0,0,0,0,0,0,1,0,8,1,0,1432,419,356,64256,29200,0,775,356,775,0,0,0,0,1,0,0,0,0,1,1,200,1,2,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1665764284077.92,1665764284100.11,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,11,1,1,52535,-,54.187.112.38,9,192.168.137.188,808,443,717,1,8,1,808,5,0,0,0,1,1,0,11,5,717,4,0,0,0,1,1,1665764296047.4607,1665764296808.791,761.33,111.914,191.898,488.637,678.291,110.154,191.897,8192,0,0,82.956529,79.859,100.367,7.680194,7,255,255,29.669207,9.787,83.039,30.207704,5,232,233,0,0,0,0,0,0,0,0,0,0,0,1460,357,60,2920,2272,0,357,60,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,405,69,65535,65535,0,405,69,152,0,0,0,0,0,0,0,0,0,0,0,---,5,4,-,-,0,0,0,299.008,379.02,393.913,574.867,223,244,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,19,1,1,57710,connectivity.smartthings.com,13.225.195.99,20,192.168.137.78,984,443,9460,0,19,10,492,8,2,492,0,1,1,0,19,9,6437,8,3,3023,0,1,1,1665764296749.931,1665764298132.8247,1382.894,320.321,330.005,1354.45,1292.513,53.881,329.387,8192,0,0,11.96885,8.904,32.431,8.268451,8,64,64,37.285568,19.264,61.937,20.559255,4,246,247,0,0,0,0,0,0,1,1,5,1,3,1460,246,6,46496,29200,0,246,31,246,0,0,0,0,0,0,2,0,0,1,1,9,1,2,1440,2856,51,67072,65535,0,5879,1,5879,3,0,0,0,0,0,0,0,0,0,0,---,6,4,connectivity.smartthings.com,*.smartthings.com,32,32,0,1226.395,1235.366,1281.861,1292.513,340,5931,192.168.137.1,1665764296706.955,-1000.0,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,12,1,1,48964,-,44.230.212.240,13,192.168.137.12,892,443,3025,1,10,4,892,5,1,1,0,2,1,0,12,5,3025,4,1,1,0,2,1,1665764299357.488,1665764302898.331,3540.843,1180.014,1261.624,3328.658,3530.917,1178.959,1260.049,8192,0,0,83.677519,79.971,104.555,9.208768,7,64,64,470.539982,36.944,837.791,404.528544,3,231,232,0,0,0,0,0,0,1,1,3,1,0,1460,357,75,116800,14600,0,357,75,140,0,0,0,0,0,0,1,0,0,1,1,9,1,0,1460,2460,69,33553920,65535,0,2460,69,2460,0,0,0,1,0,0,0,0,0,0,0,---,5,4,a2.tuyaus.com,*.tuyacn.com,0,0,0,2606.535,2687.696,3225.774,3413.259,307,2552,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,14,1,1,49548,connectivity.smartthings.com,13.225.195.54,15,192.168.137.107,492,443,6437,0,14,7,492,6,0,0,0,1,1,0,14,7,6437,5,0,0,0,1,1,1665764323846.972,1665764324192.791,345.819,194.576,204.481,314.176,302.853,42.093,203.768,8192,0,0,12.01985,9.006,32.532,8.288867,8,64,64,17.314454,8.981,43.387,14.672912,5,246,247,0,0,0,0,0,0,1,1,5,1,0,1460,246,6,46496,29200,0,246,1,246,0,0,0,0,0,0,0,0,0,1,1,9,1,0,1440,2856,51,67072,65535,0,5879,51,5879,0,0,0,0,0,0,0,0,0,0,0,---,6,4,connectivity.smartthings.com,*.smartthings.com,32,32,0,238.383,249.564,292.951,302.853,340,5931,192.168.137.1,1665764322998.17,1665764323023.1367,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,3,1,1,59243,-,47.254.83.84,4,192.168.137.163,0,1340,0,0,3,2,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1665764333109.775,1665764333308.5547,198.78,0.0,0.0,0.0,0.0,110.399,188.961,0,0,0,88.754562,77.142,100.376,0.0,2,64,64,9.920004,9.818,10.023,0.0,2,111,111,0,0,0,0,0,0,1,1,3,1,0,1460,0,0,14600,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,0,0,263424,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,10,1,1,54807,-,192.168.137.89,15,192.168.137.50,3229,55443,2372,0,14,9,3229,5,0,0,0,1,0,0,10,1,2372,8,0,0,0,1,0,1665764315077.135,1665764336141.924,21064.789,94.923,113.009,21022.245,21056.008,76.801,88.995,8192,0,0,41.231969,18.086,68.067,21.3677,4,64,64,13.902401,7.799,55.522,15.635147,9,64,64,0,0,0,0,0,0,1,1,6,1,0,1460,1232,164,105856,65535,0,611,611,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,1460,1280,51,41280,28960,0,1280,51,1280,0,0,0,0,0,0,0,0,0,0,0,---,5,8,-,-,1,0,0,168.179,167.76,177.777,175.15,1397,1332,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,18,1,1,54814,kinesis.us-east-1.amazonaws.com,3.227.250.155,12,192.168.137.212,7912,443,6915,0,11,6,7912,5,0,0,0,1,0,0,18,8,6915,9,0,0,0,1,0,1665764336180.8987,1665764336400.826,219.927,57.998,80.424,149.803,209.422,57.995,80.423,8192,0,0,30.976976,22.104,46.351,11.437448,4,64,64,11.833363,10.505,13.08,0.973664,5,237,238,0,0,0,0,0,0,1,1,6,1,0,1460,4970,126,131904,65535,0,7269,126,517,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1358,2692,6,64608,64000,0,5634,6,5634,0,0,0,0,0,0,0,0,0,0,0,---,5,9,kinesis.us-east-1.amazonaws.com,-,32,32,1,111.653,133.759,146.662,209.421,644,5686,192.168.137.1,1665764336142.1047,1665764336165.285,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
0,0,3,1,1,59308,-,47.254.83.84,4,192.168.137.163,0,1340,0,0,3,2,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1665765122952.223,1665765123170.839,218.616,0.0,0.0,0.0,0.0,113.887,211.865,0,0,0,94.611269,82.002,107.23,0.0,2,64,64,6.703165,6.657,6.75,0.0,2,111,111,0,0,0,0,0,0,1,1,3,1,0,1460,0,0,14600,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,0,0,263424,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,DictionaryBruteForce
