Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.137.207-192.168.137.254-43323-52564-17,192.168.137.207,43323,192.168.137.254,52564,17,2023-01-19 16:51:17,119999953,74055,0,37916160.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,315968.1237541818,617.1252417073863,1620.4385043346797,121813.67087348257,31723887.0,0.0,119999953.0,1620.4385043346797,121813.67087348257,31723887.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,592440,0,617.1252417073863,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0069137802984,512.0,0.0,0,0,0,2369760,4628,613910,4937,2527744,0,0,0,0,74054,8,31252600.5,32676834.8356487,54358612.0,8146589.0,19225737.5,17675052.527466517,31723887.0,6727588.0,Mirai
192.168.137.106-192.168.137.248-16562-65432-17,192.168.137.106,16562,192.168.137.248,65432,17,2023-01-19 17:24:04,119999952,65972,0,33777664.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,281480.6459255917,549.7668865734213,1818.980339846269,105498.82624192114,25076203.0,0.0,119999952.0,1818.980339846269,105498.82624192114,25076203.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,527776,0,549.7668865734213,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0077608682471,512.0,0.0,0,0,0,2814805,5497,483635,5997,3070696,0,0,0,0,65971,8,27910931.0,38758041.54220066,55317005.0,504857.0,15769684.0,13161405.388282895,25076203.0,6463165.0,Mirai
192.168.137.238-192.168.137.242-55719-7473-17,192.168.137.238,55719,192.168.137.242,7473,17,2023-01-19 17:53:57,119999932,127334,0,65195008.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,543292.0411988234,1061.117267966452,942.410309974636,34698.48840456873,10474833.0,0.0,119999932.0,942.410309974636,34698.48840456873,10474833.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1018672,0,1061.117267966452,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0040209213564,512.0,0.0,0,0,0,4656786,9095,705917,9794,5015000,0,0,0,0,127333,8,17505338.0,0.0,17505338.0,17505338.0,10474833.0,0.0,10474833.0,10474833.0,Mirai
192.168.137.147-192.168.137.13-44017-18414-17,192.168.137.147,44017,192.168.137.13,18414,17,2023-02-02 15:33:25,119999923,64992,0,33275904.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,277299.3779337675,541.6003475268897,1846.4083180748,91670.88231629842,21361385.0,0.0,119999923.0,1846.4083180748,91670.88231629842,21361385.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,519936,0,541.6003475268897,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0078778926637,512.0,0.0,0,0,0,1751363,3420,488785,3610,1848661,0,0,0,0,64991,8,30270783.0,34090134.10895372,54376148.0,6165418.0,13312401.5,11382981.629017264,21361385.0,5263418.0,Mirai
192.168.137.238-192.168.137.69-47483-17081-17,192.168.137.238,47483,192.168.137.69,17081,17,2023-02-01 14:41:06,119999913,56142,0,28744704.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,239539.3736660459,467.8503391914959,2137.4737357724284,102206.97391254388,23143027.0,0.0,119999913.0,2137.4737357724284,102206.97391254388,23143027.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,449136,0,467.8503391914959,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0091197321078,512.0,0.0,0,0,0,1796544,3508,375285,3742,1916313,0,0,0,0,56141,8,54925201.0,0.0,54925201.0,54925201.0,23143027.0,0.0,23143027.0,23143027.0,Mirai
192.168.137.224-255.255.255.255-53143-6667-17,192.168.137.224,53143,255.255.255.255,6667,17,2023-01-31 17:05:14,119999869,25,0,4300.0,0.0,172.0,172.0,172.0,0.0,0.0,0.0,0.0,0.0,35.83337245143159,0.2083335607641371,4999994.541666665,407103.36239220825,6048992.0,3917235.0,119999869.0,4999994.541666665,407103.36239220825,6048992.0,3917235.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083335607641371,0.0,172.0,172.0,172.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,178.88,172.0,0.0,0,0,0,0,0,0,1,179,0,0,0,0,24,8,6034391.142857143,2545840.832577286,9924094.0,3917235.0,5237279.5,329101.897989472,6048992.0,5002288.0,Mirai
192.168.137.128-192.168.137.254-15480-9947-17,192.168.137.128,15480,192.168.137.254,9947,17,2023-01-19 16:51:35,119999823,45264,0,23175168.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,193126.6848618601,377.2005563708206,2651.1681284934707,107760.89677089627,20550732.0,0.0,119999823.0,2651.1681284934707,107760.89677089627,20550732.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,362112,0,377.2005563708206,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.011311417462,512.0,0.0,0,0,0,891352,1740,400636,1810,927006,0,0,0,0,45263,8,97232365.0,0.0,97232365.0,97232365.0,20550732.0,0.0,20550732.0,20550732.0,Mirai
192.168.137.106-192.168.137.13-31831-29922-17,192.168.137.106,31831,192.168.137.13,29922,17,2023-02-02 15:33:25,119999804,94424,0,48345088.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,402876.3913647726,786.8679518843214,1270.8747233195363,41945.41060227776,9700359.0,0.0,119999804.0,1270.8747233195363,41945.41060227776,9700359.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,755392,0,786.8679518843214,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0054223502499,512.0,0.0,0,0,0,2685838,5245,583221,5554,2843828,0,0,0,0,94423,8,3335381.0,0.0,3335381.0,3335381.0,9700359.0,0.0,9700359.0,9700359.0,Mirai
192.168.137.207-192.168.137.82-40505-16039-17,192.168.137.207,40505,192.168.137.82,16039,17,2023-01-31 17:05:10,119999660,65040,0,33300480.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,277504.78626356105,542.0015356710177,1845.0415904303293,33291.834896345645,2884266.0,0.0,119999660.0,1845.0415904303293,33291.834896345645,2884266.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,520320,0,542.0015356710177,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0078720787208,512.0,0.0,0,0,0,2219997,4335,351292,4336,2220032,0,0,0,0,65039,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai
192.168.137.127-255.255.255.255-49154-6667-17,192.168.137.127,49154,255.255.255.255,6667,17,2023-02-06 15:26:42,119999622,23,0,4324.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,36.03344683869087,0.1916672704185685,5454528.2727272725,1519577.8035289987,10182449.0,4813328.0,119999622.0,5454528.2727272725,1519577.8035289987,10182449.0,4813328.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0,0.1916672704185685,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,196.17391304347825,188.0,0.0,0,0,0,0,0,0,1,196,0,0,0,0,22,8,5564822.0,1719904.7790857493,9818729.0,4813328.0,5873691.583333333,1995626.9429975431,10182449.0,5001159.0,Mirai
192.168.137.222-255.255.255.255-49155-6667-17,192.168.137.222,49155,255.255.255.255,6667,17,2023-01-31 18:24:48,119999416,20,0,3760.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,31.33348582296433,0.1666674777817252,6315758.736842105,4033806.453741426,20012705.0,4778950.0,119999416.0,6315758.736842105,4033806.453741426,20012705.0,4778950.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,0.1666674777817252,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,197.4,188.0,0.0,0,0,0,0,0,0,1,197,0,0,0,0,19,8,6570340.833333333,2572697.342435633,9967502.0,4778950.0,7325215.545454546,5159633.733733847,20012705.0,5006930.0,Mirai
192.168.137.123-255.255.255.255-49154-6667-17,192.168.137.123,49154,255.255.255.255,6667,17,2023-01-19 16:51:05,119999008,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.16699044712103,0.2083350555697927,4999958.666666668,79960.94192610632,5208739.0,4854382.0,119999008.0,4999958.666666668,79960.94192610632,5208739.0,4854382.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083350555697927,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,7074191.714285715,3874409.363353711,14793396.0,4854382.0,5055912.818181818,70689.69996091104,5208739.0,5000423.0,Mirai
192.168.137.128-192.168.137.248-15480-9947-17,192.168.137.128,15480,192.168.137.248,9947,17,2023-01-19 17:23:26,119998023,127238,0,65145856.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,542891.0774638345,1060.3341356715518,943.106352711848,142881.37236522013,50649477.0,0.0,119998023.0,943.106352711848,142881.37236522013,50649477.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1017904,0,1060.3341356715518,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0040239551078,512.0,0.0,0,0,0,16286464,31809,1050459,42412,21715285,0,0,0,0,127237,8,152454.0,0.0,152454.0,152454.0,50649477.0,0.0,50649477.0,50649477.0,Mirai
192.168.137.162-192.168.137.158-54372-25233-17,192.168.137.162,54372,192.168.137.158,25233,17,2023-02-02 16:17:47,119997885,47614,0,24378368.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,203156.64730257532,396.79032676284254,2520.2756600088123,107256.4322142397,20707301.0,0.0,119997885.0,2520.2756600088123,107256.4322142397,20707301.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380912,0,396.79032676284254,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0107531398328,512.0,0.0,0,0,0,1218918,2380,390646,2506,1283072,0,0,0,0,47613,8,40906342.5,19643097.57670904,54796110.0,27016575.0,13484418.0,10214699.098034067,20707301.0,6261535.0,Mirai
192.168.137.238-192.168.137.248-55719-7473-17,192.168.137.238,55719,192.168.137.248,7473,17,2023-01-19 17:23:26,119996657,111517,0,57096704.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,475819.1221943792,929.3342230358968,1076.04879120487,43003.981299931125,11552298.0,0.0,119996657.0,1076.04879120487,43003.981299931125,11552298.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,892136,0,929.3342230358968,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0045912282433,512.0,0.0,0,0,0,4758058,9293,634937,10137,5190609,0,0,0,0,111516,8,34331906.0,14431985.764407128,44536861.0,24126951.0,8672791.0,4072237.852348264,11552298.0,5793284.0,Mirai
192.168.137.8-255.255.255.255-49154-6667-17,192.168.137.8,49154,255.255.255.255,6667,17,2023-02-06 15:06:24,119995804,22,0,4136.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,34.467871893253864,0.1833397441130524,5714085.904761906,3262306.54474784,19947879.0,4842243.0,119995804.0,5714085.904761906,3262306.54474784,19947879.0,4842243.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0,0.1833397441130524,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,196.54545454545453,188.0,0.0,0,0,0,0,0,0,1,196,0,0,0,0,21,8,7788631.142857144,3927405.6903692978,14987015.0,4916738.0,6547538.6,4708925.157212305,19947879.0,5000067.0,Mirai
192.168.137.141-255.255.255.255-49154-6667-17,192.168.137.141,49154,255.255.255.255,6667,17,2023-01-19 17:23:29,119995434,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.16815701504109,0.2083412607183036,4999809.750000001,48097.74477968078,5112883.0,4876033.0,119995434.0,4999809.750000001,48097.74477968078,5112883.0,4876033.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.2083412607183036,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,12937090.4,6743312.566704646,19975102.0,4876033.0,5035655.666666668,41376.12856164774,5112883.0,5003811.0,Mirai
192.168.137.44-255.255.255.255-49154-6667-17,192.168.137.44,49154,255.255.255.255,6667,17,2023-01-18 16:18:34,119995350,22,0,4136.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,34.46800230175586,0.1833404377752971,5714064.2857142845,3293110.6772471247,20082225.0,4789658.0,119995350.0,5714064.2857142845,3293110.6772471247,20082225.0,4789658.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0,0.1833404377752971,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,196.54545454545453,188.0,0.0,0,0,0,0,0,0,1,196,0,0,0,0,21,8,7776225.428571428,2713153.8859798,9985394.0,4789658.0,6738443.11111111,5004060.474461001,20082225.0,5019117.0,Mirai
192.168.137.28-255.255.255.255-49154-6667-17,192.168.137.28,49154,255.255.255.255,6667,17,2023-02-02 16:17:48,119994636,24,0,4512.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,37.60168079513154,0.2000089403996358,5217158.086956521,1058459.141026062,10060908.0,4862014.0,119994636.0,5217158.086956521,1058459.141026062,10060908.0,4862014.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0,0.2000089403996358,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.8333333333333,188.0,0.0,0,0,0,0,0,0,1,196,0,0,0,0,23,8,5634316.285714285,1915576.0631832324,9977203.0,4862014.0,5402700.714285715,1341462.2672324309,10060908.0,5000984.0,Mirai
192.168.137.207-192.168.137.158-53978-4158-17,192.168.137.207,53978,192.168.137.158,4158,17,2023-02-02 16:17:47,119994574,92923,0,47576576.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,396489.3945954589,774.3933488192557,1291.3473020382626,73800.86151782263,21106037.0,0.0,119994574.0,1291.3473020382626,73800.86151782263,21106037.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,743384,0,774.3933488192557,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.005509938336,512.0,0.0,0,0,0,3398326,6637,611657,7147,3659736,0,0,0,0,92922,8,27135377.0,0.0,27135377.0,27135377.0,21106037.0,0.0,21106037.0,21106037.0,Mirai
192.168.137.238-192.168.137.13-6815-1616-17,192.168.137.238,6815,192.168.137.13,1616,17,2023-02-02 15:33:27,119994393,116379,0,59586048.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,496573.6024015722,969.8703171905707,1031.0745415800372,72794.16853444878,20565929.0,0.0,119994393.0,1031.0745415800372,72794.16853444878,20565929.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,931032,0,969.8703171905707,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0043994191392,512.0,0.0,0,0,0,3972403,7758,933034,8312,4256146,0,0,0,0,116378,8,15990039.666666668,11578180.438368428,28019311.0,4923005.0,12355719.0,7187033.145643548,20565929.0,7202862.0,Mirai
192.168.137.172-255.255.255.255-49154-6667-17,192.168.137.172,49154,255.255.255.255,6667,17,2023-01-18 16:18:34,119994050,18,0,3384.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,28.20139831933333,0.1500074378687943,7058473.529411764,7306125.035534339,35016412.0,4811316.0,119994050.0,7058473.529411764,7306125.035534339,35016412.0,4811316.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,144,0,0.1500074378687943,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,198.44444444444449,188.0,0.0,0,0,0,0,0,0,1,199,0,0,0,0,17,8,7852071.8,2746932.3717744127,9964450.0,4822402.0,8970410.111111112,9900223.098296288,35016412.0,5005452.0,Mirai
192.168.137.61-255.255.255.255-49154-6667-17,192.168.137.61,49154,255.255.255.255,6667,17,2023-01-18 16:18:31,119993842,13,0,2444.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,20.36771186974745,0.1083388929241885,9999486.833333334,9333691.094339492,35009075.0,4742714.0,119993842.0,9999486.833333334,9333691.094339492,35009075.0,4742714.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,104,0,0.1083388929241885,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,202.46153846153845,188.0,0.0,0,0,0,0,0,0,1,203,0,0,0,0,12,8,6429063.666666667,2883974.088850372,9759099.0,4742714.0,12588331.375,10673194.586526353,35009075.0,5002486.0,Mirai
192.168.137.69-255.255.255.255-49154-6667-17,192.168.137.69,49154,255.255.255.255,6667,17,2023-01-31 17:05:23,119992336,6,0,1128.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,9.400600385011256,0.0500031935372939,23998467.2,28785159.386444576,70070957.0,5015423.0,119992336.0,23998467.2,28785159.386444576,70070957.0,5015423.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0,0.0500031935372939,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,219.3333333333333,188.0,0.0,0,0,0,0,0,0,1,225,0,0,0,0,5,8,0.0,0.0,0.0,0.0,23998467.2,28785159.386444576,70070957.0,5015423.0,Mirai
192.168.137.141-255.255.255.255-49154-6667-17,192.168.137.141,49154,255.255.255.255,6667,17,2023-01-18 16:18:33,119992207,22,0,4136.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,34.4689051348143,0.1833452400787994,5713914.619047619,3285137.5584983267,20048575.0,4868722.0,119992207.0,5713914.619047619,3285137.5584983267,20048575.0,4868722.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0,0.1833452400787994,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,196.54545454545453,188.0,0.0,0,0,0,0,0,0,1,196,0,0,0,0,21,8,6799377.25,3710706.054223172,14894401.0,4868722.0,6559718.9,4739590.0742441015,20048575.0,5011528.0,Mirai
192.168.137.222-255.255.255.255-49155-6667-17,192.168.137.222,49155,255.255.255.255,6667,17,2023-02-01 15:15:49,119991128,25,0,4700.0,0.0,188.0,188.0,188.0,0.0,0.0,0.0,0.0,0.0,39.16956260299512,0.208348737249974,4999630.333333334,66536.57686642323,5133189.0,4864186.0,119991128.0,4999630.333333334,66536.57686642323,5133189.0,4864186.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0,0.208348737249974,0.0,188.0,188.0,188.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,195.52,188.0,0.0,0,0,0,0,0,0,1,195,0,0,0,0,24,8,5445423.7,1597950.6892865452,9990928.0,4864186.0,5041299.307692308,44659.75112519217,5133189.0,5001746.0,Mirai
192.168.137.128-192.168.137.184-51517-44389-17,192.168.137.128,51517,192.168.137.184,44389,17,2023-01-31 18:24:45,119990966,141888,0,72646656.0,0.0,512.0,512.0,512.0,0.0,0.0,0.0,0.0,0.0,605434.3791181747,1182.489021715185,845.679773340758,7827.482566507786,339178.0,0.0,119990966.0,845.679773340758,7827.482566507786,339178.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1135104,0,1182.489021715185,0.0,512.0,512.0,512.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,512.0036084799278,512.0,0.0,0,0,0,72646656,141888,605434,0,0,0,0,0,0,141887,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mirai
