src_ip,dst_ip,src_port,dst_port,start_epoch,flow_duration_s,srcport.std,dstport.std,frame.len.min,frame.len.max,frame.len.std,frame.len.mean,frame.len.rate,ip.flags.rb,ip.flags.df,ip.flags.mf,tcp.flags.res,tcp.flags.ns,tcp.flags.cwr,tcp.flags.ecn,tcp.flags.urg,tcp.flags.ack,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.fin,int.std,int.min,int.max,int.mean,count,ip.ttl.std,ip.ttl.min,ip.ttl.max,ip.ttl.mean,ip.checksum.status.std,ip.checksum.status.min,ip.checksum.status.max,ip.checksum.status.mean,l4.checksum.status.std,l4.checksum.status.min,l4.checksum.status.max,l4.checksum.status.mean,tcp.seq_raw.std,tcp.seq_raw.min,tcp.seq_raw.max,tcp.seq_raw.mean,tcp.ack_raw.std,tcp.ack_raw.min,tcp.ack_raw.max,tcp.ack_raw.mean,tcp.window_size_value.std,tcp.window_size_value.min,tcp.window_size_value.max,tcp.window_size_value.mean,duration,prate,payload.std,payload.min,payload.max,payload.mean,proto,category
192.168.137.185,239.255.255.250,37020,37000,1673536740.207358,38.696593046188354,0.0,0.0,218,218,0.0,218.0,39.43499620699328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.584857603020557,0.0,8.371886968612671,5.528084720884051,7,0.0,1.0,1.0,1.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,38.696593046188354,0.1808944780137306,0.0,184,184,184.0,UDP,Mirai
192.168.137.241,255.255.255.255,63431,6667,1673536740.245428,34.967230796813965,0.0,0.0,214,214,0.0,214.0,48.96012526550969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7662152699976337,0.0,5.005941152572632,4.370903849601746,8,0.0,255.0,255.0,255.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,34.967230796813965,0.2287856320818209,0.0,180,180,180.0,UDP,Mirai
192.168.137.141,255.255.255.255,49154,6667,1673536740.352686,34.993324995040894,0.0,0.0,230,230,0.0,230.0,52.581456613818695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7674308240973131,0.0,5.001194000244141,4.374165624380112,8,0.0,255.0,255.0,255.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,34.993324995040894,0.2286150287557334,0.0,196,196,196.0,UDP,Mirai
192.168.137.120,8.8.8.8,42803,53,1673536740.769063,0.1248030662536621,30228.814895724907,30228.814895724907,74,90,11.31370849898476,82.0,1314.0702782627966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0882490944608384,0.0,0.1248030662536621,0.062401533126831,2,41.01219330881976,64.0,122.0,93.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1248030662536621,16.025247295887763,11.31370849898476,40,56,48.0,UDP,Mirai
192.168.137.120,8.8.8.8,57641,53,1673536740.818644,0.124269962310791,40720.8653149709,40720.8653149709,74,90,11.31370849898476,82.0,1319.7074896494034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.087872133047757,0.0,0.124269962310791,0.0621349811553955,2,41.01219330881976,64.0,122.0,93.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.124269962310791,16.093993776212237,11.31370849898476,40,56,48.0,UDP,Mirai
192.168.137.120,8.8.8.8,32918,53,1673536740.860801,0.1243059635162353,23239.064363695885,23239.064363695885,74,90,11.31370849898476,82.0,1319.325279020747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878975897442575,0.0,0.1243059635162353,0.0621529817581176,2,41.01219330881976,64.0,122.0,93.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1243059635162353,16.08933267098472,11.31370849898476,40,56,48.0,UDP,Mirai
192.168.137.120,8.8.8.8,56872,53,1673536740.907993,0.1241979598999023,40177.10020023844,40177.10020023844,74,90,11.31370849898476,82.0,1320.4725756540302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878212196547558,0.0,0.1241979598999023,0.0620989799499511,2,41.01219330881976,64.0,122.0,93.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1241979598999023,16.103324093341833,11.31370849898476,40,56,48.0,UDP,Mirai
192.168.137.120,8.8.8.8,58957,53,1673536740.949712,0.1242640018463134,41651.41783901239,41651.41783901239,74,90,11.31370849898476,82.0,1319.7707909232715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878679183629059,0.0,0.1242640018463134,0.0621320009231567,2,41.01219330881976,64.0,122.0,93.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1242640018463134,16.094765742966725,11.31370849898476,40,56,48.0,UDP,Mirai
192.168.137.117,255.255.255.255,49154,6667,1673536740.983917,35.00559711456299,0.0,0.0,230,230,0.0,230.0,52.56302282112838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.768051587367849,0.0,5.004711151123047,4.3756996393203735,8,0.0,255.0,255.0,255.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,35.00559711456299,0.2285348818309929,0.0,196,196,196.0,UDP,Mirai
192.168.137.120,8.8.8.8,45663,53,1673536740.991451,0.1241929531097412,32251.140289918432,32251.140289918432,74,90,11.31370849898476,82.0,1320.525809987656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0878176793194809,0.0,0.1241929531097412,0.0620964765548706,2,41.01219330881976,64.0,122.0,93.0,0.0,2.0,2.0,2.0,0.0,2,2,2.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.1241929531097412,16.10397329253239,11.31370849898476,40,56,48.0,UDP,Mirai
