c_ip,s_isint,s_pkts_all,s_ip,s_bytes_all,c_iscrypto,s_port,s_iscrypto,c_bytes_all,c_isint,c_pkts_all,fqdn,c_port,c_rst_cnt,c_ack_cnt,c_ack_cnt_p,c_bytes_uniq,c_pkts_data,c_pkts_retx,c_bytes_retx,c_pkts_ooo,c_syn_cnt,c_fin_cnt,s_rst_cnt,s_ack_cnt,s_ack_cnt_p,s_bytes_uniq,s_pkts_data,s_pkts_retx,s_bytes_retx,s_pkts_ooo,s_syn_cnt,s_fin_cnt,first,last,durat,c_first,s_first,c_last,s_last,c_first_ack,s_first_ack,con_t,p2p_t,http_t,c_rtt_avg,c_rtt_min,c_rtt_max,c_rtt_std,c_rtt_cnt,c_ttl_min,c_ttl_max,s_rtt_avg,s_rtt_min,s_rtt_max,s_rtt_std,s_rtt_cnt,s_ttl_min,s_ttl_max,p2p_st,ed2k_data,ed2k_sig,ed2k_c2s,ed2k_c2c,ed2k_chat,c_f1323_opt,c_tm_opt,c_win_scl,c_sack_opt,c_sack_cnt,c_mss,c_mss_max,c_mss_min,c_win_max,c_win_min,c_win_0,c_cwin_max,c_cwin_min,c_cwin_ini,c_pkts_rto,c_pkts_fs,c_pkts_reor,c_pkts_dup,c_pkts_unk,c_pkts_fc,c_pkts_unrto,c_pkts_unfs,c_syn_retx,s_f1323_opt,s_tm_opt,s_win_scl,s_sack_opt,s_sack_cnt,s_mss,s_mss_max,s_mss_min,s_win_max,s_win_min,s_win_0,s_cwin_max,s_cwin_min,s_cwin_ini,s_pkts_rto,s_pkts_fs,s_pkts_reor,s_pkts_dup,s_pkts_unk,s_pkts_fc,s_pkts_unrto,s_pkts_unfs,s_syn_retx,http_req_cnt,http_res_cnt,http_res,c_pkts_push,s_pkts_push,c_tls_SNI,s_tls_SCN,c_npnalpn,s_npnalpn,c_tls_sesid,c_last_handshakeT,s_last_handshakeT,c_appdataT,s_appdataT,c_appdataB,s_appdataB,dns_rslv,req_tm,res_tm,c_first_abs,c_durat,c_type,s_first_abs,s_durat,s_type,protocolo,etiqueta
192.168.137.58,1,10,51.145.143.28,0,0,443,0,0,1,5,-,43359,0,1,1,0,0,3,3,0,4,0,1,9,0,1,0,7,7,0,9,0,1673537836299.324,1673537849346.529,13047.205,0.0,0.0,0.0,0.0,12941.733,0.0,0,0,0,127.778222,127.791,127.791,0.0,1,64,64,0.0,0.0,0.0,0.0,0,46,47,0,0,0,0,0,0,1,1,6,1,0,1456,0,0,931840,14560,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,7,1,0,1440,0,0,8340480,65160,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.172,1,8,34.211.189.2,0,0,8886,0,0,1,6,-,63802,1,1,0,0,0,4,4,0,5,0,0,8,0,0,0,7,7,0,8,0,1673537835759.568,1673537853443.9167,17684.349,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,93.215678,93.225,93.225,0.0,1,255,255,0.0,0.0,0.0,0.0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,4380,4380,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1460,0,0,4096,4096,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.44,1,9,34.211.189.2,0,0,8886,0,0,1,8,-,18354,1,1,0,0,0,6,6,0,7,0,0,9,0,0,0,8,8,0,9,0,1673537834123.245,1673537855990.47,21867.225,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,98.422158,98.432,98.432,0.0,1,255,255,0.0,0.0,0.0,0.0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,4380,4380,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1460,0,0,4096,4096,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.241,1,18,13.235.158.83,741,0,443,0,591,1,18,-,63881,1,14,6,520,6,4,74,0,4,1,0,18,6,589,5,6,157,0,6,1,1673552554237.133,1673552574999.715,20762.582,8674.82,8911.558,17743.777,19818.344,8243.776,8911.557,8192,0,0,240.480422,236.655,256.928,7.56384,7,255,255,1383.851872,944.238,1687.391,389.839947,3,229,230,0,0,0,0,0,0,0,0,0,0,0,1460,213,60,2920,2400,0,213,60,71,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1460,277,69,65535,65535,0,277,69,152,1,0,0,5,0,0,0,0,0,0,0,---,5,4,-,-,0,0,0,14259.822,14496.611,16184.002,18061.246,223,244,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.112,1,9,35.161.249.48,0,0,20443,0,0,1,10,-,61907,1,1,0,0,0,8,8,0,9,0,0,9,0,0,0,8,8,0,9,0,1673552553903.524,1673552575825.492,21921.968,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,135.806419,135.82,135.82,0.0,1,255,255,0.0,0.0,0.0,0.0,0,232,232,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,4380,4380,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,1460,0,0,26883,26883,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.109,1,1,44.235.194.199,0,0,8886,0,0,1,2,-,40012,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1673552544405.1687,1673552579903.2708,35498.102,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,114.59754,114.609,114.609,0.0,1,255,255,35379.955004,35383.493,35383.493,0.0,1,231,231,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,2920,2920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,4096,4096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.174,1,1,99.84.109.135,0,0,80,0,0,1,2,-,40816,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1673621441774.562,1673621442141.381,366.819,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,72.20178,72.209,72.209,0.0,1,64,64,0.0,0.0,0.0,0.0,0,237,237,0,0,0,0,0,0,1,1,6,1,0,1460,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,0,1440,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.120,1,10,52.36.99.179,3651,0,8883,0,1218,1,7,aws-iot.wyzecam.com,58173,1,5,1,406,3,2,812,0,1,1,0,10,3,3175,6,2,476,0,1,1,1673621443865.3447,1673621451066.3147,7200.97,858.564,987.756,4909.827,5964.681,858.56,986.26,8192,0,0,145.062498,125.517,181.989,31.993657,3,64,64,676.50335,676.571,676.571,0.0,1,232,233,0,0,0,0,0,0,1,1,4,1,0,1460,406,406,14608,14600,0,406,406,406,0,0,0,0,1,0,1,0,0,1,1,8,1,2,1460,2692,7,28160,26847,0,3175,92,3175,1,0,0,0,1,0,0,0,0,0,0,---,1,4,aws-iot.wyzecam.com,-,0,0,0,4909.827,5964.681,0.0,0.0,0,0,8.8.8.8,1673621442961.267,1673621443045.411,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.44,1,6,54.188.99.4,304,0,8886,0,128,1,6,-,1419,1,5,2,128,2,0,0,0,1,0,0,6,2,152,2,2,153,0,2,0,1673621440933.81,1673621454044.499,13110.689,2132.016,2275.889,8536.941,5411.809,2132.013,2275.888,8192,0,0,166.269124,124.755,230.197,56.177517,3,255,255,0.0,0.0,0.0,0.0,0,40,41,0,0,0,0,0,0,0,0,0,0,0,1460,67,61,4380,4228,0,67,61,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,152,152,4096,3968,0,152,152,152,1,0,0,1,0,0,0,0,0,0,0,---,2,1,-,-,0,0,0,8536.941,5411.809,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.129,1,3,44.240.120.156,0,0,443,0,0,1,2,-,53813,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,2,2,0,3,0,1673621452258.765,1673621456459.705,4200.94,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,156.154385,156.17,156.17,0.0,1,64,64,0.0,0.0,0.0,0.0,0,232,232,0,0,0,0,0,0,1,1,6,1,0,1460,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,0,0,6872832,26847,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.129,1,5,35.82.128.176,0,0,443,0,0,1,3,-,53812,1,0,0,0,0,1,1,0,2,0,0,5,0,0,0,4,4,0,5,0,1673621445537.08,1673621456459.7087,10922.629,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,233.920608,233.944,233.944,0.0,1,64,64,0.0,0.0,0.0,0.0,0,232,232,0,0,0,0,0,0,1,1,6,1,0,1460,0,0,4194240,65535,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,8,1,0,1460,0,0,6872832,26847,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.29,1,6,54.80.217.210,4344,0,443,0,243,1,7,-,49358,1,5,3,243,1,0,0,0,1,1,0,6,2,2896,3,1,1448,0,1,0,1673621440884.5027,1673621461358.768,20474.265,900.977,989.578,900.977,17095.976,542.913,987.642,8192,0,0,160.449985,86.665,212.313,65.632586,3,64,64,330.566943,330.6,330.6,0.0,1,233,234,0,0,0,0,0,0,1,1,3,1,0,1460,243,243,14600,14600,0,243,243,243,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,1448,1448,28160,26847,0,2896,1448,2896,1,0,0,0,0,0,0,0,0,0,0,---,1,0,-,*.i.tplinknbu.com,0,0,0,900.977,17095.976,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.29,1,7,35.170.219.163,3429,0,443,0,243,1,8,-,34223,1,5,3,243,1,1,1,0,2,1,0,7,1,3429,2,2,2,0,3,1,1673621455978.998,1673621463021.95,7042.952,2553.997,2619.541,2553.997,5784.987,2537.264,2617.545,8192,0,0,71.592947,62.14,89.098,15.174094,3,64,64,3102.618738,3102.929,3102.929,0.0,1,237,238,0,0,0,0,0,0,1,1,3,1,0,1460,243,243,116800,14600,0,243,243,243,0,0,0,0,0,0,1,0,0,1,1,8,1,0,1460,1981,1448,6872832,26847,0,1981,1448,1448,0,0,0,2,0,0,0,0,0,0,0,---,1,1,-,*.i.tplinknbu.com,0,0,0,2553.997,5784.987,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.112,1,3,52.25.27.109,0,0,20443,0,0,1,4,-,62017,1,1,0,0,0,2,2,0,3,0,0,3,0,0,0,2,2,0,3,0,1673621442107.765,1673621463629.958,21522.193,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,130.276972,130.29,130.29,0.0,1,255,255,0.0,0.0,0.0,0.0,0,232,232,0,0,0,0,0,0,0,0,0,0,0,1460,0,0,4380,4380,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1460,0,0,26883,26883,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.174,1,7,35.175.71.102,6471,0,443,0,124,1,10,avs-alexa-4-na.amazon.com,46106,1,7,5,124,1,1,1,0,2,1,0,7,1,6471,3,2,2,0,3,0,1673621456414.85,1673621463772.485,7357.635,2146.902,2213.399,2146.902,6802.732,2146.9,2211.122,8192,0,0,76.940153,64.22,89.668,0.0,2,64,64,2905.20448,2905.495,2905.495,0.0,1,234,235,0,0,0,0,0,0,1,1,6,1,0,1460,124,124,4194240,65535,0,124,124,124,0,0,0,0,0,0,1,0,0,1,1,7,1,0,1460,2896,1448,3436416,26847,0,2896,1448,1448,0,0,0,2,0,0,0,0,0,0,0,---,1,1,-,bob-dispatch-prod-na.amazon.com,128,128,0,2146.902,6802.732,0.0,0.0,0,0,8.8.8.8,1673621454290.346,1673621454373.379,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.241,1,19,35.164.57.66,589,0,443,0,651,1,16,h3.iot-dns.com,63974,1,11,2,520,7,6,135,0,5,1,0,19,7,589,4,6,6,0,7,1,1673621446377.9387,1673621464712.475,18334.536,9404.037,9525.475,17095.618,17896.833,9384.819,9525.474,8192,0,0,131.029271,117.417,161.841,17.249182,7,255,255,1216.651084,437.703,2744.627,1062.838653,4,232,233,0,0,0,0,0,0,0,0,0,0,0,1460,213,60,2920,2400,0,213,60,71,0,0,0,0,2,0,4,0,0,0,0,0,0,0,1460,277,69,65535,65535,0,277,69,152,0,0,0,6,0,0,0,0,0,0,0,---,5,4,-,-,0,0,0,15197.79,15316.115,16447.257,17226.162,223,244,192.168.137.1,1673621443618.446,1673621443667.204,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.163,1,3,47.254.83.84,0,0,1340,0,0,1,4,-,40595,0,3,2,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1673621463976.0127,1673621465202.687,1226.674,0.0,0.0,0.0,0.0,718.778,850.417,0,0,0,134.276786,129.473,139.094,0.0,2,64,64,477.788611,375.941,579.684,0.0,2,111,111,0,0,0,0,0,0,1,1,3,1,0,1460,0,0,14600,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,0,0,263424,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.58,1,5,51.145.143.28,0,0,443,0,0,1,4,-,44315,1,0,0,0,0,2,2,0,3,0,0,5,0,0,0,4,4,0,5,0,1673623944618.328,1673623952987.111,8368.783,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,64,64,0.0,0.0,0.0,0.0,0,47,47,0,0,0,0,0,0,1,1,6,1,0,1456,0,0,931840,14560,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,7,1,0,1440,0,0,8340480,65160,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.163,1,4,47.89.232.126,0,0,1340,0,0,1,2,-,42048,0,0,0,0,0,1,1,0,2,0,1,3,0,0,0,2,2,0,3,0,1673623946394.608,1673623967587.1667,21192.559,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,183.655634,183.674,183.674,0.0,1,64,64,0.0,0.0,0.0,0.0,0,111,111,0,0,0,0,0,0,1,1,3,1,0,1460,0,0,116800,14600,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,8,1,0,1460,0,0,16776960,8192,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
192.168.137.129,1,4,44.228.149.123,0,0,443,0,0,1,2,-,54364,1,0,0,0,0,0,0,0,1,0,0,4,0,0,0,3,3,0,4,0,1673626880982.875,1673626889978.829,8995.954,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,191.475852,191.495,191.495,0.0,1,64,64,0.0,0.0,0.0,0.0,0,232,232,0,0,0,0,0,0,1,1,6,1,0,1460,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,0,0,6872832,26847,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Mirai
