c_iscrypto,s_iscrypto,s_pkts_all,c_isint,s_isint,c_port,fqdn,s_ip,c_pkts_all,c_ip,c_bytes_all,s_port,s_bytes_all,c_rst_cnt,c_ack_cnt,c_ack_cnt_p,c_bytes_uniq,c_pkts_data,c_pkts_retx,c_bytes_retx,c_pkts_ooo,c_syn_cnt,c_fin_cnt,s_rst_cnt,s_ack_cnt,s_ack_cnt_p,s_bytes_uniq,s_pkts_data,s_pkts_retx,s_bytes_retx,s_pkts_ooo,s_syn_cnt,s_fin_cnt,first,last,durat,c_first,s_first,c_last,s_last,c_first_ack,s_first_ack,con_t,p2p_t,http_t,c_rtt_avg,c_rtt_min,c_rtt_max,c_rtt_std,c_rtt_cnt,c_ttl_min,c_ttl_max,s_rtt_avg,s_rtt_min,s_rtt_max,s_rtt_std,s_rtt_cnt,s_ttl_min,s_ttl_max,p2p_st,ed2k_data,ed2k_sig,ed2k_c2s,ed2k_c2c,ed2k_chat,c_f1323_opt,c_tm_opt,c_win_scl,c_sack_opt,c_sack_cnt,c_mss,c_mss_max,c_mss_min,c_win_max,c_win_min,c_win_0,c_cwin_max,c_cwin_min,c_cwin_ini,c_pkts_rto,c_pkts_fs,c_pkts_reor,c_pkts_dup,c_pkts_unk,c_pkts_fc,c_pkts_unrto,c_pkts_unfs,c_syn_retx,s_f1323_opt,s_tm_opt,s_win_scl,s_sack_opt,s_sack_cnt,s_mss,s_mss_max,s_mss_min,s_win_max,s_win_min,s_win_0,s_cwin_max,s_cwin_min,s_cwin_ini,s_pkts_rto,s_pkts_fs,s_pkts_reor,s_pkts_dup,s_pkts_unk,s_pkts_fc,s_pkts_unrto,s_pkts_unfs,s_syn_retx,http_req_cnt,http_res_cnt,http_res,c_pkts_push,s_pkts_push,c_tls_SNI,s_tls_SCN,c_npnalpn,s_npnalpn,c_tls_sesid,c_last_handshakeT,s_last_handshakeT,c_appdataT,s_appdataT,c_appdataB,s_appdataB,dns_rslv,req_tm,res_tm,c_first_abs,c_durat,c_type,s_first_abs,s_durat,s_type,protocolo,etiqueta
0,0,1,1,1,59414,-,47.88.56.147,2,192.168.137.11,0,50920,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1666038023026.737,1666038023165.628,138.891,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,118.320168,118.332,118.332,0.0,1,64,64,0.0,0.0,0.0,0.0,0,47,47,0,0,0,0,0,0,1,1,3,1,0,1410,0,0,14100,14100,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,1460,0,0,65535,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,12,1,1,60446,-,54.69.37.156,10,192.168.137.139,1080,443,1349,1,9,2,1080,5,0,0,0,1,1,0,12,5,944,5,1,405,0,1,1,1666038021126.2727,1666038023764.999,2638.726,131.605,230.146,1516.13,2289.54,130.597,230.145,8192,0,0,106.599334,98.54,122.363,10.266969,7,255,255,138.222294,7.705,349.186,163.041163,4,232,233,0,0,0,0,0,0,0,0,0,0,0,1460,357,60,4380,3505,0,357,1,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,405,69,65535,65535,0,405,69,124,1,0,0,0,0,0,0,0,0,0,0,---,5,4,-,-,0,0,1,668.649,767.833,952.361,1638.494,495,471,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,24,1,1,53680,-,3.227.250.213,24,192.168.137.150,8464,443,6975,0,23,11,8464,10,1,1,0,1,2,0,24,9,6944,13,1,31,0,1,1,1666038024653.132,1666038031701.5327,7048.401,102.313,178.304,6991.095,6854.008,102.311,177.855,8192,0,0,47.379807,40.486,75.542,13.28381,9,64,64,57.103041,3.182,144.534,46.326648,7,232,233,0,0,0,0,0,0,1,1,6,1,1,1460,2206,31,131200,65535,0,7790,31,517,0,0,0,1,0,0,0,0,0,1,1,7,1,0,1115,2206,6,65077,64512,0,5634,1,5634,1,0,0,0,0,0,0,0,0,0,0,---,6,11,kinesis.us-east-1.amazonaws.com,-,32,32,1,245.0,285.846,430.382,491.385,644,5686,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,90,1,1,56346,-,51.145.143.28,93,192.168.137.48,143714,443,6274,0,92,6,143714,85,0,0,0,1,1,0,90,82,6274,6,0,0,0,1,1,1666038033978.066,1666038036028.262,2050.196,154.126,293.759,1815.605,1734.851,146.458,293.432,8192,0,0,129.589034,128.359,151.863,3.239298,60,64,64,45.238095,2.263,105.458,45.677037,5,47,48,0,0,0,0,0,0,1,1,0,1,0,1456,14280,31,14560,228,0,49980,1,291,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1440,2888,51,249728,62592,0,5568,1,0,0,0,0,0,0,0,0,0,0,0,0,---,5,6,apicom.netatmo.net,*.netatmo.net,0,0,0,416.022,544.871,556.173,684.938,418,5620,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,78,1,1,56347,-,51.145.143.28,91,192.168.137.48,143012,443,6273,0,90,6,143012,83,0,0,0,1,1,0,78,70,6273,6,0,0,0,1,1,1666038035816.973,1666038038026.109,2209.136,236.544,365.776,2044.431,1996.647,236.542,365.281,8192,0,0,130.496163,128.471,171.384,6.30386,61,64,64,32.927141,2.006,84.402,34.099007,5,47,48,0,0,0,0,0,0,1,1,6,1,0,1456,14280,31,29056,14560,0,45696,31,291,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1440,2888,51,193408,56832,0,5568,1,5568,0,0,0,0,0,0,0,0,0,0,0,---,5,6,apicom.netatmo.net,*.netatmo.net,0,0,0,481.697,610.497,615.78,744.317,418,5620,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,11,1,1,35728,-,54.242.14.206,12,192.168.137.187,1266,443,3727,1,10,4,1266,5,0,0,0,1,1,0,11,4,3727,5,0,0,0,1,1,1666038050404.44,1666038051258.5547,854.115,142.901,185.272,810.539,851.844,91.181,183.785,8192,0,0,51.099556,40.884,87.282,18.192648,7,64,64,54.706106,26.566,75.687,21.129564,5,236,237,0,0,0,0,0,0,1,1,3,1,0,1460,467,31,26184,14600,0,467,31,243,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,2896,31,32512,26847,0,3423,31,3423,0,0,0,0,0,0,0,0,0,0,0,---,5,4,-,*.tplinkcloud.com,0,0,0,399.425,440.514,498.754,766.346,370,3475,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,12,1,1,40501,deviceapi.messaging.arlo.com,54.154.51.85,15,192.168.137.51,1238,443,8497,0,14,9,1238,4,0,0,0,1,1,0,12,4,8497,6,0,0,0,1,1,1666038050803.956,1666038052037.178,1233.222,391.58,507.836,1086.662,1073.329,202.103,502.261,8192,0,0,124.728588,110.681,158.708,18.964423,6,64,64,36.063628,10.033,68.629,30.259462,7,226,227,0,0,0,0,0,0,1,1,5,1,0,1460,868,31,34880,14600,0,868,1,213,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,4344,34,29696,26847,0,5998,51,5998,0,0,0,0,0,0,0,0,0,0,0,---,4,4,deviceapi.messaging.arlo.com,*.messaging.arlo.com,33,32,1,748.488,860.426,877.549,1073.328,340,6050,192.168.137.1,1666038050680.108,1666038050721.354,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,13,1,1,36616,api.us.xiaoyi.com,47.254.14.172,15,192.168.137.153,796,443,5440,0,14,8,796,5,0,0,0,1,1,0,13,4,5440,7,0,0,0,1,1,1666038052200.2627,1666038053350.005,1149.742,252.954,349.761,1029.893,1016.502,252.524,349.099,8192,0,0,108.858016,96.133,137.015,15.237564,7,64,64,36.995144,7.492,132.973,37.974235,9,46,47,0,0,0,0,0,0,1,1,3,1,0,1160,293,69,37120,23200,0,293,69,76,0,0,0,0,0,0,0,0,0,1,0,9,1,0,1440,1160,91,31744,29200,0,4912,1,4912,0,0,0,0,0,0,0,0,0,0,0,---,5,3,-,api.us.xiaoyi.com,0,0,0,792.204,898.881,906.373,1016.502,435,5004,8.208.8.243,1666038052009.818,1666038052140.946,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,3,1,1,55018,-,47.254.83.84,4,192.168.137.163,0,1340,0,0,3,2,0,0,0,0,0,1,1,0,3,1,0,0,0,0,0,1,1,1666038058854.502,1666038059097.111,242.609,0.0,0.0,0.0,0.0,120.846,233.239,0,0,0,115.467727,111.961,118.986,0.0,2,64,64,5.587721,1.86,9.316,0.0,2,111,111,0,0,0,0,0,0,1,1,3,1,0,1460,0,0,14600,14600,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,0,1460,0,0,263424,8192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,---,0,0,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,-,0.0,0.0,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
0,0,159,1,1,39102,api.amazonalexa.com,13.225.196.108,167,192.168.137.162,1151,443,269823,0,166,161,1151,4,0,0,0,1,1,0,159,5,234399,152,21,35424,0,1,1,1666038064215.499,1666038065734.71,1519.211,152.668,181.559,1407.138,1302.034,78.66,180.286,8192,0,0,31.645973,27.618,51.036,9.499737,6,64,64,76.394906,13.42,155.473,46.655844,28,246,247,0,0,0,0,0,0,1,1,6,1,105,1460,517,31,524608,65535,0,517,31,517,0,0,0,0,0,0,0,0,0,1,1,9,1,0,1440,2856,51,68096,65535,0,125664,1,5436,1,1,0,0,19,0,0,0,0,0,0,---,4,67,api.amazonalexa.com,api.amazonalexa.com,33,32,0,317.382,346.262,396.897,529.708,644,5488,192.168.137.1,1666038063911.028,1666038063958.132,0.0,0.0,0,0.0,0.0,0,TCP,Spoofing
