c_pkts_all,s_pkts_all,c_port,s_ip,s_port,c_bytes_all,s_isint,fqdn,s_bytes_all,s_iscrypto,c_ip,c_isint,c_iscrypto,c_rst_cnt,c_ack_cnt,c_ack_cnt_p,c_bytes_uniq,c_pkts_data,c_pkts_retx,c_bytes_retx,c_pkts_ooo,c_syn_cnt,c_fin_cnt,s_rst_cnt,s_ack_cnt,s_ack_cnt_p,s_bytes_uniq,s_pkts_data,s_pkts_retx,s_bytes_retx,s_pkts_ooo,s_syn_cnt,s_fin_cnt,first,last,durat,c_first,s_first,c_last,s_last,c_first_ack,s_first_ack,con_t,p2p_t,http_t,c_rtt_avg,c_rtt_min,c_rtt_max,c_rtt_std,c_rtt_cnt,c_ttl_min,c_ttl_max,s_rtt_avg,s_rtt_min,s_rtt_max,s_rtt_std,s_rtt_cnt,s_ttl_min,s_ttl_max,p2p_st,ed2k_data,ed2k_sig,ed2k_c2s,ed2k_c2c,ed2k_chat,c_f1323_opt,c_tm_opt,c_win_scl,c_sack_opt,c_sack_cnt,c_mss,c_mss_max,c_mss_min,c_win_max,c_win_min,c_win_0,c_cwin_max,c_cwin_min,c_cwin_ini,c_pkts_rto,c_pkts_fs,c_pkts_reor,c_pkts_dup,c_pkts_unk,c_pkts_fc,c_pkts_unrto,c_pkts_unfs,c_syn_retx,s_f1323_opt,s_tm_opt,s_win_scl,s_sack_opt,s_sack_cnt,s_mss,s_mss_max,s_mss_min,s_win_max,s_win_min,s_win_0,s_cwin_max,s_cwin_min,s_cwin_ini,s_pkts_rto,s_pkts_fs,s_pkts_reor,s_pkts_dup,s_pkts_unk,s_pkts_fc,s_pkts_unrto,s_pkts_unfs,s_syn_retx,http_req_cnt,http_res_cnt,http_res,c_pkts_push,s_pkts_push,c_tls_SNI,s_tls_SCN,c_npnalpn,s_npnalpn,c_tls_sesid,c_last_handshakeT,s_last_handshakeT,c_appdataT,s_appdataT,c_appdataB,s_appdataB,dns_rslv,req_tm,res_tm,c_first_abs,c_durat,c_type,s_first_abs,s_durat,s_type,protocolo,etiqueta
5,5,46012,157.249.81.141,443,251,1,api.met.no,7,0,192.168.137.41,1,0,0,4,2,251,1,0,0,0,1,1,0,5,2,7,1,0,0,0,1,1,1664817420784.446,1664817421183.341,398.895,148.95,272.771,148.95,272.771,148.248,271.779,0,0,0,130.752642,122.829,146.326,13.483913,3,64,64,2.249925,1.821,3.007,0.657523,3,50,51,0,0,0,0,0,0,1,1,2,1,0,1460,251,251,14600,14600,0,251,251,251,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,7,7,65160,65024,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817420780.967,1664817420782.094,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,47665,157.249.81.141,80,196,1,api.met.no,375,0,192.168.137.41,1,0,0,4,2,196,1,0,0,0,1,1,0,5,2,375,1,0,0,0,1,1,1664817422078.183,1664817422473.8467,395.664,147.967,270.156,147.967,270.156,147.309,270.154,1,0,1,129.985,122.187,145.415,13.359319,3,64,64,2.322256,1.894,3.142,0.710093,3,50,51,0,0,0,0,0,0,1,1,2,1,0,1460,196,196,14600,14600,0,196,196,196,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,375,375,65160,65024,0,375,375,375,0,0,0,0,0,0,0,0,0,1,1,301,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817422074.2,1664817422075.768,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,46015,157.249.81.141,443,251,1,api.met.no,7,0,192.168.137.41,1,0,0,4,2,251,1,0,0,0,1,1,0,5,2,7,1,0,0,0,1,1,1664817422357.568,1664817422755.09,397.522,148.558,271.192,148.558,271.192,147.896,271.191,0,0,0,130.559315,122.633,146.012,13.380243,3,64,64,2.366254,1.884,3.284,0.79507,3,49,50,0,0,0,0,0,0,1,1,2,1,0,1460,251,251,14600,14600,0,251,251,251,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,7,7,65160,65024,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817422354.007,1664817422355.2827,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,47668,157.249.81.141,80,196,1,api.met.no,375,0,192.168.137.41,1,0,0,4,2,196,1,0,0,0,1,1,0,5,2,375,1,0,0,0,1,1,1664817423652.0847,1664817424050.732,398.647,148.968,272.106,148.968,272.106,148.19,272.104,1,0,1,131.016966,123.136,146.524,13.426372,3,64,64,2.132596,1.666,2.839,0.622143,3,49,50,0,0,0,0,0,0,1,1,2,1,0,1460,196,196,14600,14600,0,196,196,196,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,375,375,65160,65024,0,375,375,375,0,0,0,0,0,0,0,0,0,1,1,301,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817423647.175,1664817423648.438,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,46018,157.249.81.141,443,251,1,api.met.no,7,0,192.168.137.41,1,0,0,4,2,251,1,0,0,0,1,1,0,5,2,7,1,0,0,0,1,1,1664817423933.463,1664817424331.76,398.297,148.415,272.384,148.415,272.384,147.628,270.944,0,0,0,130.472318,122.529,145.885,13.34623,3,64,64,2.133596,1.743,2.895,0.65941,3,50,51,0,0,0,0,0,0,1,1,2,1,0,1460,251,251,14600,14600,0,251,251,251,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,7,7,65160,65024,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817423929.8027,1664817423931.019,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,47671,157.249.81.141,80,196,1,api.met.no,375,0,192.168.137.41,1,0,0,4,2,196,1,0,0,0,1,1,0,5,2,375,1,0,0,0,1,1,1664817425224.68,1664817425622.537,397.857,148.8,271.722,148.8,271.722,148.061,271.721,1,0,1,130.727976,122.921,146.263,13.450031,3,64,64,2.271924,1.798,3.121,0.73692,3,49,50,0,0,0,0,0,0,1,1,2,1,0,1460,196,196,14600,14600,0,196,196,196,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,375,375,65160,65024,0,375,375,375,0,0,0,0,0,0,0,0,0,1,1,301,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817425220.977,1664817425222.32,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,46021,157.249.81.141,443,251,1,api.met.no,7,0,192.168.137.41,1,0,0,4,2,251,1,0,0,0,1,1,0,5,2,7,1,0,0,0,1,1,1664817425505.495,1664817425903.8547,398.36,148.996,271.946,148.996,271.946,148.287,271.945,0,0,0,130.850638,122.949,146.423,13.482835,3,64,64,2.319256,1.864,3.221,0.780879,3,49,50,0,0,0,0,0,0,1,1,2,1,0,1460,251,251,14600,14600,0,251,251,251,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,7,7,65160,65024,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817425502.016,1664817425503.228,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,47674,157.249.81.141,80,196,1,api.met.no,375,0,192.168.137.41,1,0,0,4,2,196,1,0,0,0,1,1,0,5,2,375,1,0,0,0,1,1,1664817426798.244,1664817427195.138,396.894,148.263,270.953,148.263,270.953,147.476,270.952,1,0,1,130.443985,122.689,145.849,13.337499,3,64,64,2.18926,1.627,3.133,0.822235,3,50,51,0,0,0,0,0,0,1,1,2,1,0,1460,196,196,14600,14600,0,196,196,196,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,375,375,65160,65024,0,375,375,375,0,0,0,0,0,0,0,0,0,1,1,301,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817426794.6787,1664817426795.977,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,46024,157.249.81.141,443,251,1,api.met.no,7,0,192.168.137.41,1,0,0,4,2,251,1,0,0,0,1,1,0,5,2,7,1,0,0,0,1,1,1664817427078.456,1664817427507.373,428.917,148.085,270.351,148.085,270.351,147.386,270.35,0,0,0,141.051632,122.265,155.322,16.986835,3,64,64,2.28559,1.804,3.243,0.82908,3,50,51,0,0,0,0,0,0,1,1,2,1,0,1460,251,251,14600,14600,0,251,251,251,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,7,7,65160,65024,0,7,7,7,0,0,0,0,0,0,0,0,0,0,0,---,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817427074.6567,1664817427075.9807,0.0,0.0,0,0.0,0.0,0,TCP,Web
5,5,47677,157.249.81.141,80,196,1,api.met.no,375,0,192.168.137.41,1,0,0,4,2,196,1,0,0,0,1,1,0,5,2,375,1,0,0,0,1,1,1664817428367.8347,1664817428847.489,479.654,179.786,336.328,179.786,336.328,178.827,336.326,1,0,1,157.884737,140.177,176.953,18.42513,3,64,64,2.28859,1.843,3.149,0.745232,3,49,50,0,0,0,0,0,0,1,1,2,1,0,1460,196,196,14600,14600,0,196,196,196,0,0,0,0,0,0,0,0,0,1,1,7,1,0,1460,375,375,65160,65024,0,375,375,375,0,0,0,0,0,0,0,0,0,1,1,301,1,1,-,-,0,0,0,0.0,0.0,0.0,0.0,0,0,192.168.137.1,1664817428364.233,1664817428365.494,0.0,0.0,0,0.0,0.0,0,TCP,Web
